group,fiscal_year,fiscal_quarter,period_key,revenue_usd_m,operating_income_usd_m,company_coverage,revenue_yoy_growth,revenue_qoq_growth,op_income_yoy_growth,op_income_qoq_growth,best_growth_metric,best_growth_rate,avg_pair_corr,pc1_share,strong_pair_share,classification,n_assets,momentum_read
meterier,2016,2,2016Q2,280.709,470.347,2,,0.0658229962828385,,0.23744512195766854,op income QoQ,0.23744512195766854,0.05507937836998749,0.3043750280131596,0.07142857142857142,weak / fragmented,8,fundamental momentum present but stock coupling weak
Cooling,2016,2,2016Q2,3600.2,452.2,1,,0.24669298427868958,,1.642898889538282,op income QoQ,1.642898889538282,0.026367784867299366,0.5507427452760371,0.0,moderate coupling,4,fundamental momentum present but stock coupling weak
OSAT / packiging,2016,2,2016Q2,736.722,38.643,1,,-0.008282685512367549,,-0.28411048741177125,revenue QoQ,-0.008282685512367549,-0.023342168809717408,0.3075286283668626,0.0,moderate coupling,6,mixed / modest signal
NAND,2016,3,2016Q3,3330.0,764.0,2,,-0.09902597402597402,,-0.38541526560124556,revenue QoQ,-0.09902597402597402,0.5500479329800854,0.7750239664900427,0.0,high coupling,3,coupling strong despite weak fundamentals
Hyperscalers,2016,3,2016Q3,75089.0,15091.0,4,,-0.015035334254706267,,-0.08653619255467454,revenue QoQ,-0.015035334254706267,0.4144853174544705,0.5359089468985468,0.2,moderate coupling,6,mixed / modest signal
AI Software,2016,3,2016Q3,4501.0,1459.0,1,,0.11355764473033148,,0.14611154752553035,op income QoQ,0.14611154752553035,0.33199855902562836,0.6659992795128142,0.0,moderate coupling,2,mixed / modest signal
AI Platforms,2016,3,2016Q3,20758.918,195.937,4,,0.01089975455154942,,0.2706477220492003,op income QoQ,0.2706477220492003,0.3284539783638078,0.503931040352309,0.0,moderate coupling,9,fundamental momentum present but stock coupling weak
Server OEM,2016,3,2016Q3,13528.225,275.448,2,,-0.011357867470718763,,-0.34829826344963,revenue QoQ,-0.011357867470718763,0.3026696495953829,0.6529478277959905,0.2222222222222222,weak / fragmented,9,mixed / modest signal
components,2016,3,2016Q3,4146.338,1060.0189999999998,5,,0.049159529296284865,,0.13869626281458403,op income QoQ,0.13869626281458403,0.1964524907885637,0.3511463931663306,0.04395604395604396,moderate coupling,14,mixed / modest signal
HW equipment,2016,3,2016Q3,4942.664000000001,675.235,6,,0.005553667901462019,,-1.2381432946257411,revenue QoQ,0.005553667901462019,0.17646757711681876,0.3649898946381713,0.08974358974358974,high coupling,14,mixed / modest signal
AI Chip,2016,3,2016Q3,8118.0,1290.0,3,,0.027629133595906685,,0.11557483193122958,op income QoQ,0.11557483193122958,0.1754741781908492,0.4326006790091565,0.1,moderate coupling,5,mixed / modest signal
Server EMS,2016,3,2016Q3,8564.325,47.283,2,,0.04187144723023373,,-0.047712076049303165,revenue QoQ,0.04187144723023373,0.15587402219301966,0.4296696682912894,0.1,weak / fragmented,5,mixed / modest signal
Energy,2016,3,2016Q3,14261.649,4393.883,5,,0.0817667386169586,,0.3148754687322599,op income QoQ,0.3148754687322599,0.14110964092502204,0.4281091945377019,0.14545454545454545,weak / fragmented,18,fundamental momentum present but stock coupling weak
Server Networking,2016,3,2016Q3,13207.363000000001,3004.544,8,,0.03112446875308389,,0.9308274696729697,op income QoQ,0.9308274696729697,0.12880936732507567,0.37454840821673835,0.045454545454545456,weak / fragmented,14,fundamental momentum present but stock coupling weak
DRAM,2016,3,2016Q3,3853.0,631.0,1,,-0.07513202112337969,,-0.2619883040935672,revenue QoQ,-0.07513202112337969,0.06537045537342055,0.3973439613204209,0.0,high coupling,3,mixed / modest signal
meterier,2016,3,2016Q3,270.253,423.066,2,,-0.03724853852209942,,-0.15047400554186308,revenue QoQ,-0.03724853852209942,0.05507937836998749,0.3043750280131596,0.07142857142857142,weak / fragmented,8,mixed / modest signal
Cooling,2016,3,2016Q3,3850.5,490.9,2,,-0.031470473862563075,,0.05130473241928346,op income QoQ,0.05130473241928346,0.026367784867299366,0.5507427452760371,0.0,moderate coupling,4,mixed / modest signal
OSAT / packiging,2016,3,2016Q3,734.362,51.295,1,,-0.003203379293682085,,0.32740729239448285,op income QoQ,0.32740729239448285,-0.023342168809717408,0.3075286283668626,0.0,moderate coupling,6,fundamental momentum present but stock coupling weak
AI Software,2017,1,2017Q1,5382.0,2010.0,1,0.5190516511430991,0.1957342812708287,1.1543408360128615,0.3776559287183001,op income YoY,1.1543408360128615,0.6171491533089885,0.8085745766544942,0.0,moderate coupling,2,strong coupling with positive fundamental momentum
DRAM,2017,1,2017Q1,3350.0,232.0,1,-0.2674393177345288,-0.13054762522709573,-0.7861751152073733,-0.6323296354992076,revenue QoQ,-0.13054762522709573,0.5448996516039982,0.7010994814912991,0.3333333333333333,high coupling,3,coupling strong despite weak fundamentals
HW equipment,2017,1,2017Q1,4784.467999999999,702.144,6,-0.016098105010531844,-0.05731136329715697,0.22757445886389807,0.4470250211825201,op income QoQ,0.4470250211825201,0.4656272826647569,0.5429919534878987,0.3076923076923077,high coupling,14,mixed / modest signal
AI Platforms,2017,1,2017Q1,20373.214,14.711000000000013,4,0.21466346370222592,0.0921078584461588,0.7786909406155178,0.2509521622313722,op income YoY,0.7786909406155178,0.401745664022469,0.5806599113805181,0.3333333333333333,moderate coupling,9,mixed / modest signal
NAND,2017,1,2017Q1,2925.0,408.0,2,-0.22721268163804487,-0.1216216216216216,-0.5624181722964127,-0.49221276566276323,revenue QoQ,-0.1216216216216216,0.2317699969535311,0.6158849984767655,0.0,high coupling,3,mixed / modest signal
Hyperscalers,2017,1,2017Q1,78212.0,14860.0,4,0.07928401060044124,0.019252934774284552,0.822061545027455,0.35890803935216975,op income YoY,0.822061545027455,0.20087932017927282,0.385964042751037,0.13333333333333333,moderate coupling,6,fundamental momentum present but stock coupling weak
Cooling,2017,1,2017Q1,3240.2,237.0,2,0.0021815915229586036,-0.10906877812447857,0.3173582700175337,-0.3887429261606525,op income YoY,0.3173582700175337,0.1656345157077932,0.5102353254546609,0.0,moderate coupling,4,fundamental momentum present but stock coupling weak
Energy,2017,1,2017Q1,12570.155999999999,3168.688,5,0.011293551658225265,-0.030819673373535583,-0.07511400202661056,-0.2528677745204213,revenue YoY,0.011293551658225265,0.1302212968788024,0.33255894772605477,0.07575757575757576,weak / fragmented,18,mixed / modest signal
Server Networking,2017,1,2017Q1,13838.720000000001,3164.6910000000003,8,0.1981818262390762,0.05928524608710095,-0.24739838826059657,-0.28335536889337015,revenue YoY,0.1981818262390762,0.10511299900782674,0.31816763568580797,0.045454545454545456,weak / fragmented,14,fundamental momentum present but stock coupling weak
meterier,2017,1,2017Q1,267.024,206.559,2,0.01386246881798825,-0.011948063481256432,-0.24851891421768324,-0.2984895062125797,revenue YoY,0.01386246881798825,0.08954872299440611,0.32716465469115524,0.0,weak / fragmented,8,mixed / modest signal
components,2017,1,2017Q1,3759.623,852.115,5,0.0179730009657445,-0.07208700685476782,0.01711030038553225,-0.259520492219598,revenue YoY,0.0179730009657445,0.08232217607155837,0.22907295121075108,0.01098901098901099,moderate coupling,14,mixed / modest signal
OSAT / packiging,2017,1,2017Q1,868.682,22.094,1,0.16935150597341408,0.18290706763149522,-0.5906926767817113,-0.5692757578711376,revenue QoQ,0.18290706763149522,0.01318992519152898,0.2661804233997966,0.0,moderate coupling,6,fundamental momentum present but stock coupling weak
Server EMS,2017,1,2017Q1,7100.9619999999995,54.053,2,-0.12185231253486511,-0.10530905659470441,0.010714285714285676,0.14318042425396005,op income QoQ,0.14318042425396005,-0.050204471260172315,0.5354818806829027,0.1,weak / fragmented,5,mixed / modest signal
AI Chip,2017,1,2017Q1,7758.0,1793.0,3,-0.11174015740695202,-0.095338648190879,-0.009030558550233603,0.09533177472391713,op income QoQ,0.09533177472391713,-0.07164862097435988,0.4497609772153496,0.0,moderate coupling,5,mixed / modest signal
Server OEM,2017,1,2017Q1,26101.104,70.44,3,0.09542510677136623,0.059272199397936876,-0.3987433041707746,0.12776542906114075,op income QoQ,0.12776542906114075,-0.08614008542303866,0.2909868099027135,0.0,weak / fragmented,9,mixed / modest signal
AI Software,2017,2,2017Q2,6436.0,2734.0,1,0.5922810489856507,0.19583797844667417,1.1476826394344068,0.36019900497512447,op income YoY,1.1476826394344068,0.6171491533089885,0.8085745766544942,0.0,moderate coupling,2,strong coupling with positive fundamental momentum
DRAM,2017,2,2017Q2,2934.0,-5.0,1,-0.29572731637061933,-0.12417910447761193,-1.0058479532163742,-1.021551724137931,revenue QoQ,-0.12417910447761193,0.5448996516039982,0.7010994814912991,0.3333333333333333,high coupling,3,coupling strong despite weak fundamentals
HW equipment,2017,2,2017Q2,5050.49,683.71,6,0.162754450545484,0.2632916481242591,-1.7814914083351876,0.1824573958510471,revenue QoQ,0.2632916481242591,0.4656272826647569,0.5429919534878987,0.3076923076923077,high coupling,14,mixed / modest signal
AI Platforms,2017,2,2017Q2,21978.021,315.78499999999997,4,0.1864460873175131,0.07004213777451047,0.7779378876854821,-0.12206843448713123,op income YoY,0.7779378876854821,0.401745664022469,0.5806599113805181,0.3333333333333333,moderate coupling,9,mixed / modest signal
NAND,2017,2,2017Q2,2986.0,480.0,2,-0.1920995670995671,0.02085470085470087,-0.6219497532086946,0.7211469016322403,op income QoQ,0.7211469016322403,0.2317699969535311,0.6158849984767655,0.0,high coupling,3,fundamental momentum present but stock coupling weak
Hyperscalers,2017,2,2017Q2,84693.0,16234.0,4,0.09003757263952974,0.08433826648703163,0.40387768108392685,0.11765812629396394,op income YoY,0.40387768108392685,0.20087932017927282,0.385964042751037,0.13333333333333333,moderate coupling,6,fundamental momentum present but stock coupling weak
Cooling,2017,2,2017Q2,4022.2,481.19999999999993,2,0.024443086495194777,0.11971241274666938,0.13511720477664735,-1.2449782761680388,op income YoY,0.13511720477664735,0.1656345157077932,0.5102353254546609,0.0,moderate coupling,4,mixed / modest signal
Energy,2017,2,2017Q2,13037.51,3286.6549999999997,5,0.06812485254655781,0.03215948947056621,0.049913571203239915,0.10981176668781309,op income QoQ,0.10981176668781309,0.1302212968788024,0.33255894772605477,0.07575757575757576,weak / fragmented,18,mixed / modest signal
Server Networking,2017,2,2017Q2,13163.257,3401.165,8,0.1536831071154416,0.0574693261508295,0.9035234298573102,-7.519744209056445,op income YoY,0.9035234298573102,0.10511299900782674,0.31816763568580797,0.045454545454545456,weak / fragmented,14,fundamental momentum present but stock coupling weak
meterier,2017,2,2017Q2,303.052,293.4,2,0.07959488295708383,0.13492420156989637,-0.12383143801680768,0.482611049088264,op income QoQ,0.482611049088264,0.08954872299440611,0.32716465469115524,0.0,weak / fragmented,8,fundamental momentum present but stock coupling weak
components,2017,2,2017Q2,3901.346,1066.214,5,0.02813869167403807,0.05497168298880378,0.01819626983433962,0.21295783622488074,op income QoQ,0.21295783622488074,0.08232217607155837,0.22907295121075108,0.01098901098901099,moderate coupling,14,fundamental momentum present but stock coupling weak
OSAT / packiging,2017,2,2017Q2,917.326,30.542,1,0.24514538726955348,0.05599747663702015,-0.20963693295034025,0.3823662532814338,op income QoQ,0.3823662532814338,0.01318992519152898,0.2661804233997966,0.0,moderate coupling,6,fundamental momentum present but stock coupling weak
Server EMS,2017,2,2017Q2,7927.936,61.099,2,0.011161144968446002,0.09232668619732443,0.23054459034882768,0.1303535418940669,op income YoY,0.23054459034882768,-0.050204471260172315,0.5354818806829027,0.1,weak / fragmented,5,fundamental momentum present but stock coupling weak
AI Chip,2017,2,2017Q2,7731.0,1483.0,3,-0.019747539095677946,0.06577491355781968,-0.23730529738069872,-0.36420960345292686,revenue QoQ,0.06577491355781968,-0.07164862097435988,0.4497609772153496,0.0,moderate coupling,5,mixed / modest signal
Server OEM,2017,2,2017Q2,22125.235,397.126,3,-0.023576205289705332,-0.043715496057328385,0.09963352870478426,0.732901896766169,op income QoQ,0.732901896766169,-0.08614008542303866,0.2909868099027135,0.0,weak / fragmented,9,fundamental momentum present but stock coupling weak
AI Software,2017,3,2017Q3,7011.0,3117.0,1,0.5576538546989558,0.0893412057178371,1.1363947909527075,0.140087783467447,op income YoY,1.1363947909527075,0.6171491533089885,0.8085745766544942,0.0,moderate coupling,2,strong coupling with positive fundamental momentum
DRAM,2017,3,2017Q3,2898.0,-27.0,1,-0.24785881131585774,-0.012269938650306789,-1.0427892234548335,,revenue QoQ,-0.012269938650306789,0.5448996516039982,0.7010994814912991,0.3333333333333333,high coupling,3,coupling strong despite weak fundamentals
HW equipment,2017,3,2017Q3,5410.161,835.6690000000001,6,0.3361185137862915,0.13022756137016053,1.6884926889450924,0.5499271574982008,op income YoY,1.6884926889450924,0.4656272826647569,0.5429919534878987,0.3076923076923077,high coupling,14,mixed / modest signal
AI Platforms,2017,3,2017Q3,21047.623,385.98400000000004,4,0.1896379712207604,0.014845581564314444,0.5012051914689515,0.6319272089045741,op income QoQ,0.6319272089045741,0.401745664022469,0.5806599113805181,0.3333333333333333,moderate coupling,9,mixed / modest signal
NAND,2017,3,2017Q3,2595.0,115.0,2,-0.2207207207207207,-0.13094440723375755,-0.856128335283893,-0.7657492301536213,revenue QoQ,-0.13094440723375755,0.2317699969535311,0.6158849984767655,0.0,high coupling,3,mixed / modest signal
Hyperscalers,2017,3,2017Q3,84708.0,14652.0,4,0.10084370193703163,-0.0037214441126445508,0.08428582182096897,-0.1712855907037258,revenue YoY,0.10084370193703163,0.20087932017927282,0.385964042751037,0.13333333333333333,moderate coupling,6,mixed / modest signal
Cooling,2017,3,2017Q3,3896.5,525.4,2,-0.03639173712604854,-0.02425645699003809,-0.019886140024699128,-0.00311708552503398,op income QoQ,-0.00311708552503398,0.1656345157077932,0.5102353254546609,0.0,moderate coupling,4,mixed / modest signal
Energy,2017,3,2017Q3,15307.676,4510.941,5,0.12977785078780646,0.15471770625203207,0.06299376274798746,0.3246161221069238,op income QoQ,0.3246161221069238,0.1302212968788024,0.33255894772605477,0.07575757575757576,weak / fragmented,18,fundamental momentum present but stock coupling weak
Server Networking,2017,3,2017Q3,13326.264,3139.928,8,0.2059065609367676,0.07919547412065206,0.6112322867235661,0.3938839797859092,op income YoY,0.6112322867235661,0.10511299900782674,0.31816763568580797,0.045454545454545456,weak / fragmented,14,fundamental momentum present but stock coupling weak
meterier,2017,3,2017Q3,296.692,569.381175,3,0.09783055137223284,-0.020986497366788592,0.2404356853151356,0.45661664107217637,op income QoQ,0.45661664107217637,0.08954872299440611,0.32716465469115524,0.0,weak / fragmented,8,fundamental momentum present but stock coupling weak
components,2017,3,2017Q3,4186.902,1073.824,5,0.09835623899837387,0.11999889903674227,-0.02390924002252264,0.10251180102981235,revenue QoQ,0.11999889903674227,0.08232217607155837,0.22907295121075108,0.01098901098901099,moderate coupling,14,mixed / modest signal
OSAT / packiging,2017,3,2017Q3,1086.014,114.615,1,0.4788537533260162,0.18389100494262656,1.2344283068525197,2.752701198349813,op income QoQ,2.752701198349813,0.01318992519152898,0.2661804233997966,0.0,moderate coupling,6,fundamental momentum present but stock coupling weak
Server EMS,2017,3,2017Q3,8432.651,54.583,2,0.02365493304699917,0.05342814360489445,0.1543895268912716,-0.10664658996055576,op income YoY,0.1543895268912716,-0.050204471260172315,0.5354818806829027,0.1,weak / fragmented,5,fundamental momentum present but stock coupling weak
AI Chip,2017,3,2017Q3,8656.0,1544.0,3,0.11117134245177233,0.16442719628072777,0.2196517838474843,1.1743862748744653,op income QoQ,1.1743862748744653,-0.07164862097435988,0.4497609772153496,0.0,moderate coupling,5,fundamental momentum present but stock coupling weak
Server OEM,2017,3,2017Q3,21192.468,2591.445,3,-0.1486369100352864,-0.09389376836576942,4.808739433506679,2.181171512179234,op income YoY,4.808739433506679,-0.08614008542303866,0.2909868099027135,0.0,weak / fragmented,9,fundamental momentum present but stock coupling weak
meterier,2017,4,2017Q4,,-0.290825,1,,,,,,,0.08954872299440611,0.32716465469115524,0.0,weak / fragmented,8,insufficient momentum coverage
NAND,2018,1,2018Q1,2797.0,453.0,2,-0.04376068376068376,0.07784200385356455,0.6451321681352016,4.410774410774411,op income QoQ,4.410774410774411,0.7729422516651266,0.8864711258325633,1.0,high coupling,3,strong coupling with positive fundamental momentum
Hyperscalers,2018,1,2018Q1,90987.0,16929.0,4,0.13532888077658195,0.053969112571089356,0.08053418663290515,0.25756472693479493,op income QoQ,0.25756472693479493,0.6792260941424042,0.7402767569003165,0.6,moderate coupling,6,strong coupling with positive fundamental momentum
AI Platforms,2018,1,2018Q1,20265.417,499.193,4,0.19636665426897038,0.0972738967068697,0.5976141283154485,0.23338899061249363,op income YoY,0.5976141283154485,0.5548155827441111,0.6825299937144225,0.5,moderate coupling,9,strong coupling with positive fundamental momentum
AI Chip,2018,1,2018Q1,8482.0,1034.0,3,0.1961499873087623,-0.03538157059908035,-0.07311673860264362,-0.2556532663316583,revenue YoY,0.1961499873087623,0.5195986963864139,0.6369441321686058,0.5,moderate coupling,5,strong coupling with positive fundamental momentum
HW equipment,2018,1,2018Q1,443002.235,1219.0939999999998,6,396.87506460941455,191.32017467245007,1.1008025107922628,0.29865734044967557,op income YoY,1.1008025107922628,0.5012338391092875,0.5652468379021234,0.24358974358974358,high coupling,14,strong coupling with positive fundamental momentum
DRAM,2018,1,2018Q1,3970.0,359.0,1,0.18507462686567155,0.36991028295376127,0.5474137931034482,,op income YoY,0.5474137931034482,0.4643543354714183,0.6601641510523576,0.3333333333333333,high coupling,3,mixed / modest signal
AI Software,2018,1,2018Q1,8032.0,3327.0,1,0.4923820141211446,0.1456282983882471,0.655223880597015,0.06737247353224252,op income YoY,0.655223880597015,0.44532676415895533,0.7226633820794777,0.0,moderate coupling,2,mixed / modest signal
components,2018,1,2018Q1,6112.062,1102.3719999999998,5,0.22189934247376492,0.03491949551843965,0.33483699643435455,0.018041273627939523,op income YoY,0.33483699643435455,0.30441198017661464,0.4103440941157106,0.10989010989010989,moderate coupling,14,fundamental momentum present but stock coupling weak
Energy,2018,1,2018Q1,19867.525,5015.213,6,0.20499347264405066,0.020391725233828373,0.4883073687384646,0.10654113354154437,op income YoY,0.4883073687384646,0.2998642628979687,0.5627382784739249,0.18681318681318682,weak / fragmented,18,fundamental momentum present but stock coupling weak
meterier,2018,1,2018Q1,2692.377,463.92,2,0.18857106477320396,0.0697187655885565,1.027994857742143,0.12029141454873232,op income YoY,1.027994857742143,0.29756740445490915,0.4090595119976285,0.0,weak / fragmented,8,fundamental momentum present but stock coupling weak
Server OEM,2018,1,2018Q1,19143.0,314.0,2,-0.25203154302749536,-0.08597665653380399,0.1796875,-0.8287334593572779,op income YoY,0.1796875,0.2877695429752304,0.39139247947966277,0.05555555555555555,weak / fragmented,9,fundamental momentum present but stock coupling weak
OSAT / packiging,2018,1,2018Q1,899.284,18.384,1,0.03522808116203624,-0.1719406932138996,-0.1679188920068797,-0.8396021463159272,revenue YoY,0.03522808116203624,0.2747993732720787,0.43778356004242447,0.06666666666666667,moderate coupling,6,mixed / modest signal
Server Networking,2018,1,2018Q1,13890.916000000001,3067.794,8,0.3253288841940572,0.14944037439724137,11.984913419085911,0.3788651153586836,op income QoQ,0.3788651153586836,0.26850462030617206,0.3860319443723793,0.09090909090909091,weak / fragmented,14,fundamental momentum present but stock coupling weak
Cooling,2018,1,2018Q1,3347.7999999999997,230.8,2,0.019988638523826263,-0.05134759842681025,0.15796438515436168,-0.21327363062013116,op income YoY,0.15796438515436168,0.22837455675645812,0.5452263107497248,0.0,moderate coupling,4,fundamental momentum present but stock coupling weak
Server EMS,2018,1,2018Q1,7596.79,58.656,2,0.08825465784764563,-0.05040324818106717,0.08515716056463107,0.0746203030247512,revenue YoY,0.08825465784764563,0.20158281898785813,0.38243444569669205,0.2,weak / fragmented,5,mixed / modest signal
NAND,2018,2,2018Q2,2894.0,915.0,2,-0.030810448760884124,0.03468001430103684,0.8935176325266618,1.0116730379154313,op income QoQ,1.0116730379154313,0.7729422516651266,0.8864711258325633,1.0,high coupling,3,strong coupling with positive fundamental momentum
Hyperscalers,2018,2,2018Q2,98826.0,15702.0,4,0.1370254189316812,0.08565343415953597,-0.11983993851551186,-0.10471378611636856,revenue YoY,0.1370254189316812,0.6792260941424042,0.7402767569003165,0.6,moderate coupling,6,mixed / modest signal
AI Platforms,2018,2,2018Q2,21509.448,498.83900000000006,4,0.177821443187981,0.053917706579111734,0.5531684368736851,-0.14952332732437695,op income YoY,0.5531684368736851,0.5548155827441111,0.6825299937144225,0.5,moderate coupling,9,strong coupling with positive fundamental momentum
AI Chip,2018,2,2018Q2,7595.0,1045.0,3,0.08762307601482615,-0.030842657870833106,1.3431234889343502,-0.2866711816766903,op income YoY,1.3431234889343502,0.5195986963864139,0.6369441321686058,0.5,moderate coupling,5,strong coupling with positive fundamental momentum
HW equipment,2018,2,2018Q2,6994.343999999999,1502.942,6,0.3943229015284917,-0.06536018989349413,1.586633008054896,0.6751490678994267,op income YoY,1.586633008054896,0.5012338391092875,0.5652468379021234,0.24358974358974358,high coupling,14,strong coupling with positive fundamental momentum
DRAM,2018,2,2018Q2,4648.0,1044.0,1,0.5841854124062713,0.17078085642317387,,1.9080779944289694,op income QoQ,1.9080779944289694,0.4643543354714183,0.6601641510523576,0.3333333333333333,high coupling,3,mixed / modest signal
AI Software,2018,2,2018Q2,9321.0,4401.0,1,0.44825978868862637,0.1604830677290836,0.6097293343087051,0.3228133453561768,op income YoY,0.6097293343087051,0.44532676415895533,0.7226633820794777,0.0,moderate coupling,2,mixed / modest signal
components,2018,2,2018Q2,6563.299999999999,986.249,5,0.24950207318153483,0.0743794675933408,-0.058585153928670544,-0.13867748770070115,revenue YoY,0.24950207318153483,0.30441198017661464,0.4103440941157106,0.10989010989010989,moderate coupling,14,fundamental momentum present but stock coupling weak
Energy,2018,2,2018Q2,21060.203999999998,576.733,8,0.14121926465167356,0.2015969934489051,-0.5291749338356992,-0.7262646504242876,revenue QoQ,0.2015969934489051,0.2998642628979687,0.5627382784739249,0.18681318681318682,weak / fragmented,18,fundamental momentum present but stock coupling weak
meterier,2018,2,2018Q2,2826.002,444.09000000000003,2,0.08562886897298139,0.04399839208326539,0.41609791637582016,0.046325575512269124,op income YoY,0.41609791637582016,0.29756740445490915,0.4090595119976285,0.0,weak / fragmented,8,fundamental momentum present but stock coupling weak
Server OEM,2018,2,2018Q2,19888.0,262.0,2,-0.0959067481761916,0.02746045557430099,-0.5676274944567627,-0.5695364238410596,revenue QoQ,0.02746045557430099,0.2877695429752304,0.39139247947966277,0.05555555555555555,weak / fragmented,9,mixed / modest signal
