group,member_role,members,companies,avg_mean_corr_to_group,avg_pc1_loading,market_cap_usd_b,market_cap_usd_b_share_of_group,market_cap_usd_b_coverage,revenue_usd_m,revenue_usd_m_share_of_group,revenue_usd_m_coverage,operating_income_usd_m,operating_income_usd_m_share_of_group,operating_income_usd_m_coverage,net_income_usd_m,net_income_usd_m_share_of_group,net_income_usd_m_coverage,financial_currency,financial_year,financial_quarter,financial_period,mixed_financial_currency,financial_fx_normalized,missing_fx_rate
Energy,coupling core,7,"Eaton, ABB, Schneider Electric, GE Vernova, Vistra, Vertiv, Constellation Energy",0.38878327617045566,0.2877187806989347,,,0,41835.36363636363,0.44094165490074344,6,5757.172727272727,0.4263191832015559,6,7353.190909090909,0.5805230124047205,6,"CHF, EUR, JPY, TWD, USD",2025,4,2025-Q4,True,True,False
Energy,partial / bridge,7,"Siemens Energy, NextEra Energy, Southern Company, Dominion Energy, Iberdrola, RWE, Delta Electronics",0.294236321235926,0.17707651326824733,,,0,48906.27595585284,0.5154685505413387,7,6954.670006688963,0.514993969634211,7,5753.210497658862,0.4542070415947216,7,"CHF, EUR, JPY, TWD, USD",2025,4,2025-Q4,True,True,False
Energy,weakly coupled,4,"Brookfield Renewable, Equinix, Bloom Energy, Hitachi",0.3006495141132397,0.20438940312046178,,,0,4135.683,0.0435897945579177,3,792.529,0.058686847164233155,3,-439.908,,3,"CHF, EUR, JPY, TWD, USD",2025,4,2025-Q4,True,True,False
HW equipment,coupling core,14,"Lam Research, Applied Materials, KLA, Tokyo Electron, MKS Instruments, ASML, ASM International, Screen Holdings, Onto Innovation, Disco, BE Semiconductor Industries, Advantest, Lasertec, FormFactor",0.6296721802055926,0.2665825803061995,,,0,27614.90730434783,1.0,9,8944.926826086956,1.0,9,7843.984956521738,1.0,9,"EUR, JPY, USD",2025,4,2025-Q4,True,True,False
Hyperscalers,partial / bridge,6,"Microsoft, Amazon, Google, Alibaba Group, Oracle, TCEHY",0.3585009735103661,0.40009997803638647,,,0,709389.0,1.0,5,124504.0,1.0,5,116623.0,1.0,5,USD,2025,4,2025-Q4,False,True,False
NAND,coupling core,3,"Western Digital, Kioxia Holdings, Seagate Technology",0.707636152812368,0.5767815727703999,,,0,5842.0,1.0,2,1809.0,1.0,2,2435.0,1.0,2,"JPY, USD",2025,4,2025-Q4,True,True,False
Neocloud,coupling core,2,"IREN, Nebius Group",0.664109533564664,0.7071067811865475,,,0,412.392,1.0,2,-334.655,1.0,2,-424.207,1.0,2,USD,2025,4,2025-Q4,False,True,False
OSAT / packiging,partial / bridge,5,"ASX, King Yuan Electronics, JCET Group, Amkor Technology, Tongfu Microelectronics",0.39420580018152224,0.41499582207127383,,,0,182611.43886549553,0.9982172131026392,5,18885.98874626624,0.9981867047566058,5,14446.365657825107,0.9988642807128685,5,"CNY, KRW, TWD, USD",2025,4,2025-Q4,True,True,False
OSAT / packiging,weakly coupled,1,Hana Micron,0.33504769416537367,0.3637235246499027,,,0,326.13871634782606,0.0017827868973607501,1,34.308084246376815,0.001813295243394302,1,16.425671057971016,0.0011357192871315198,1,"CNY, KRW, TWD, USD",2025,4,2025-Q4,True,True,False
Server EMS,partial / bridge,2,"Flex Ltd, Celestica",0.3903308791989557,0.4999111978215829,,,0,10712.9,0.097767722353364,2,714.8,0.1752674426864466,2,506.5,0.1909375798882246,2,"CNY, TWD, USD",2025,4,2025-Q4,True,True,False
Server EMS,weakly coupled,3,"Sanmina, Hon Hai Precision Industry (Foxconn), Luxshare Precision",0.2994922542941917,0.4002981259753559,,,0,98862.11864756687,0.902232277646636,3,3363.5387321898506,0.8247325573135533,3,2146.1993811092952,0.8090624201117754,3,"CNY, TWD, USD",2025,4,2025-Q4,True,True,False
Server Networking,partial / bridge,11,"Credo Technology, Coherent Corp, Semtech, MACOM Technology, Broadcom, Cisco, Astera Labs, Fabrinet, Arista Networks, Accton Technology, Zhongji Innolight",0.35497146011324404,0.27396266396845664,,,0,43335.65488826443,0.862222146663438,11,13692.87341527938,0.9654820579881666,11,13532.847988768697,0.9563156762986209,11,"CNY, TWD, USD",2025,4,2025-Q4,True,True,False
Server Networking,weakly coupled,3,"Applied Optoelectronics, Lumentum, Nokia",0.29893797073117473,0.22107160386732247,,,0,6924.774,0.137777853336562,3,489.548,0.03451794201183356,3,618.178,0.0436843237013791,3,"CNY, TWD, USD",2025,4,2025-Q4,True,True,False
Server ODM,coupling core,2,"Wistron, Quanta Computer",0.5078512002276717,0.43660554381788197,,,0,41833.177138461535,0.6370914171714736,2,1522.8392923076922,0.648157655701319,2,934.2705538461538,0.5777500368088877,2,TWD,2025,4,2025-Q4,False,True,False
Server ODM,partial / bridge,3,"Inventec, GIGABYTE, Compal Electronics",0.44800664861604256,0.3943625659920819,,,0,13892.152246153844,0.21156822329726382,3,282.9262769230769,0.12042034462406773,3,198.4851076923077,0.12274258008363848,3,TWD,2025,4,2025-Q4,False,True,False
Server ODM,weakly coupled,2,"MiTAC Holdings, Wiwynn",0.30427697672414306,0.2729428105984034,,,0,9937.42483076923,0.1513403595312625,2,543.7234461538462,0.23142199967461344,2,484.3287076923077,0.2995073831074739,2,TWD,2025,4,2025-Q4,False,True,False
Server OEM,partial / bridge,5,"Lenovo, Dell Technologies, ASUSTeK Computer, Inspur Electronic Information, Unisplendour",0.24303073003654477,0.31634947292873583,,,0,42073.787591290275,0.6433327258011794,4,2663.265123773825,0.739902511554655,4,2067.334129719551,0.7663309356072594,4,"CNY, HKD, JPY, TWD, USD",2025,4,2025-Q4,True,True,False
Server OEM,weakly coupled,4,"Hewlett Packard Enterprise, Super Micro Computer, Pure Storage, NEC",0.23989172198975756,0.312675072450138,,,0,23325.944000000003,0.3566672741988207,3,936.216,0.260097488445345,3,630.3700000000001,0.23366906439274063,3,"CNY, HKD, JPY, TWD, USD",2025,4,2025-Q4,True,True,False
components,coupling core,3,"Samsung Electro-Mechanics, Murata Manufacturing, LG Innotek",0.4831742372972769,0.289413185786175,,,0,7617.319745992754,0.2924413410943256,2,408.8738488550724,0.08498966552568492,2,259.96201876086957,0.07102412083772486,2,"EUR, JPY, KRW, TWD, USD",2025,4,2025-Q4,True,True,False
components,partial / bridge,11,"Analog Devices, Ibiden, Amphenol, Unimicron, AT&S, Monolithic Power Systems, TE Connectivity, Yageo, Silicon Motion, Rambus, Nan Ya PCB",0.436069881794906,0.26056023943332274,,,0,18430.02266287625,0.7075586589056743,10,4401.991640802676,0.915010334474315,10,3400.23138729097,0.9289758791622752,10,"EUR, JPY, KRW, TWD, USD",2025,4,2025-Q4,True,True,False
foundry,weakly coupled,2,"SMIC, TSMC",0.15269755723211198,0.7071067811865475,,,0,1046090.449,1.0,1,564880.854,1.0,1,485465.363,1.0,1,"HKD, USD",2025,4,2025-Q4,True,True,False
meterier,partial / bridge,6,"Shin-Etsu Chemical, Corning, Linde, Entegris, Air Liquide, Tokyo Ohka Kogyo",0.368629131060449,0.37849957341919566,,,0,13802.9,0.7075386061297769,3,3593.5,0.8580334387052235,3,2119.4,0.8594000126936666,3,"EUR, JPY, USD",2025,4,2025-Q4,True,True,False
meterier,weakly coupled,2,"Merck KGaA, Stella Chemifa",0.24855567156887762,0.258439407334692,,,0,5705.434782608695,0.29246139387022313,1,594.5652173913044,0.14196656129477658,1,346.73913043478257,0.1405999873063334,1,"EUR, JPY, USD",2025,4,2025-Q4,True,True,False
