reference_key,proxy_model,source_model,gpu,workload,target_tok_s_user,target_met,effective_output_tps_per_mw,selected_tok_s_user,observed_tok_s_user,performance_multiplier_vs_source,source_gpu,benchmark_id,framework,precision,spec_method,concurrency,benchmark_type,selected_isl,selected_osl,candidate_rows,eligible_rows,selection_status,source_type,benchmark_date,run_url,method_note
DeepSeek V4 Pro|H200|long|100,DeepSeek V4 Pro,dsv4,H200,long,100,True,13217.209329,100.706934,100.706934,1.0,H200,435236,vllm,fp8,mtp,2,single_turn,8192,1024,47,3,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-07-14,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/29316772188/attempts/1,Selected highest output TPS/MW measured row meeting median interactivity >= 100.
DeepSeek V4 Pro|H200|agentic|100,DeepSeek V4 Pro,dsv4,H200,agentic,100,True,14938.773723,136.425648,136.425648,1.0,H200,439548,dynamo-sglang,fp8,mtp,4,agentic_traces,,,5,3,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-08-11,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31435999410/attempts/1,Selected highest output TPS/MW measured row meeting median interactivity >= 100.
DeepSeek V4 Pro|B200|short|30,DeepSeek V4 Pro,dsv4,B200,short,30,True,788432.664843,50.464518,50.464518,1.0,B200,422340,trt,fp4,mtp,256,single_turn,1024,1024,59,46,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-12,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27434759052/attempts/3,Selected highest output TPS/MW measured row meeting median interactivity >= 30.
DeepSeek V4 Pro|B200|long|30,DeepSeek V4 Pro,dsv4,B200,long,30,True,2666084.383025,37.167633,37.167633,1.0,B200,438810,dynamo-vllm,fp4,mtp,4096,single_turn,8192,1024,85,58,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-08-07,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/30937733020/attempts/1,Selected highest output TPS/MW measured row meeting median interactivity >= 30.
DeepSeek V4 Pro|B200|agentic|30,DeepSeek V4 Pro,dsv4,B200,agentic,30,True,119077.040936,33.134526,33.134526,1.0,B200,439283,vllm,fp4,mtp,72,agentic_traces,,,27,25,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-08-08,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31192602558/attempts/3,Selected highest output TPS/MW measured row meeting median interactivity >= 30.
DeepSeek V4 Pro|B200|short|50,DeepSeek V4 Pro,dsv4,B200,short,50,True,788432.664843,50.464518,50.464518,1.0,B200,422340,trt,fp4,mtp,256,single_turn,1024,1024,59,33,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-12,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27434759052/attempts/3,Selected highest output TPS/MW measured row meeting median interactivity >= 50.
DeepSeek V4 Pro|B200|long|50,DeepSeek V4 Pro,dsv4,B200,long,50,True,1766862.520101,52.368772,52.368772,1.0,B200,438804,dynamo-vllm,fp4,mtp,1024,single_turn,8192,1024,85,44,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-08-07,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/30937733020/attempts/1,Selected highest output TPS/MW measured row meeting median interactivity >= 50.
DeepSeek V4 Pro|B200|agentic|50,DeepSeek V4 Pro,dsv4,B200,agentic,50,True,81649.391813,53.734551,53.734551,1.0,B200,439277,vllm,fp4,mtp,40,agentic_traces,,,27,17,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-08-08,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31192602558/attempts/3,Selected highest output TPS/MW measured row meeting median interactivity >= 50.
DeepSeek V4 Pro|B200|short|70,DeepSeek V4 Pro,dsv4,B200,short,70,True,271993.18069,72.528684,72.528684,1.0,B200,422342,trt,fp4,mtp,64,single_turn,1024,1024,59,25,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-12,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27434759052/attempts/3,Selected highest output TPS/MW measured row meeting median interactivity >= 70.
DeepSeek V4 Pro|B200|long|70,DeepSeek V4 Pro,dsv4,B200,long,70,True,426771.870546,75.623267,75.623267,1.0,B200,438805,dynamo-vllm,fp4,mtp,256,single_turn,8192,1024,85,30,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-08-07,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/30937733020/attempts/1,Selected highest output TPS/MW measured row meeting median interactivity >= 70.
DeepSeek V4 Pro|B200|agentic|70,DeepSeek V4 Pro,dsv4,B200,agentic,70,True,39404.520468,88.028169,88.028169,1.0,B200,439274,vllm,fp4,mtp,16,agentic_traces,,,27,11,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-08-08,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31192602558/attempts/3,Selected highest output TPS/MW measured row meeting median interactivity >= 70.
DeepSeek V4 Pro|B200|short|100,DeepSeek V4 Pro,dsv4,B200,short,100,True,59907.247405,105.103169,105.103169,1.0,B200,434554,vllm,fp4,mtp,8,single_turn,1024,1024,59,9,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-07-12,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/29177379558/attempts/1,Selected highest output TPS/MW measured row meeting median interactivity >= 100.
DeepSeek V4 Pro|B200|long|100,DeepSeek V4 Pro,dsv4,B200,long,100,True,110825.248109,121.599518,121.599518,1.0,B200,439666,dynamo-sglang,fp4,mtp,128,single_turn,8192,1024,85,15,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-08-12,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31451666262/attempts/1,Selected highest output TPS/MW measured row meeting median interactivity >= 100.
DeepSeek V4 Pro|B200|agentic|100,DeepSeek V4 Pro,dsv4,B200,agentic,100,True,31261.426901,110.987791,110.987791,1.0,B200,439268,vllm,fp4,mtp,12,agentic_traces,,,27,7,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-08-08,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31192602558/attempts/3,Selected highest output TPS/MW measured row meeting median interactivity >= 100.
DeepSeek V4 Pro|B300|short|30,DeepSeek V4 Pro,dsv4,B300,short,30,True,1538008.897642,30.856803,30.856803,1.0,B300,420783,trt,fp4,mtp,1024,single_turn,1024,1024,71,52,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-12,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27370207913/attempts/1,Selected highest output TPS/MW measured row meeting median interactivity >= 30.
DeepSeek V4 Pro|B300|long|30,DeepSeek V4 Pro,dsv4,B300,long,30,True,2837835.016764,34.727311,34.727311,1.0,B300,438030,dynamo-sglang,fp4,mtp,3072,single_turn,8192,1024,90,65,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-07-30,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/30431632620/attempts/1,Selected highest output TPS/MW measured row meeting median interactivity >= 30.
DeepSeek V4 Pro|B300|agentic|30,DeepSeek V4 Pro,dsv4,B300,agentic,30,True,212034.078947,40.322581,40.322581,1.0,B300,439518,vllm,fp4,mtp,128,agentic_traces,,,20,8,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-08-11,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31415828111/attempts/2,Selected highest output TPS/MW measured row meeting median interactivity >= 30.
DeepSeek V4 Pro|B300|short|50,DeepSeek V4 Pro,dsv4,B300,short,50,True,381313.522391,53.897786,53.897786,1.0,B300,420768,trt,fp4,mtp,64,single_turn,1024,1024,71,38,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-12,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27370207913/attempts/1,Selected highest output TPS/MW measured row meeting median interactivity >= 50.
DeepSeek V4 Pro|B300|long|50,DeepSeek V4 Pro,dsv4,B300,long,50,True,1400983.543572,54.867354,54.867354,1.0,B300,438029,dynamo-sglang,fp4,mtp,1024,single_turn,8192,1024,90,47,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-07-30,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/30431632620/attempts/1,Selected highest output TPS/MW measured row meeting median interactivity >= 50.
DeepSeek V4 Pro|B300|agentic|50,DeepSeek V4 Pro,dsv4,B300,agentic,50,True,71586.210526,94.607379,94.607379,1.0,B300,439520,vllm,fp4,mtp,16,agentic_traces,,,20,4,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-08-11,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31415828111/attempts/2,Selected highest output TPS/MW measured row meeting median interactivity >= 50.
DeepSeek V4 Pro|B300|short|70,DeepSeek V4 Pro,dsv4,B300,short,70,True,158275.470027,77.218883,77.218883,1.0,B300,434570,vllm,fp4,mtp,16,single_turn,1024,1024,71,30,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-07-12,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/29177379558/attempts/1,Selected highest output TPS/MW measured row meeting median interactivity >= 70.
DeepSeek V4 Pro|B300|long|70,DeepSeek V4 Pro,dsv4,B300,long,70,True,444662.903186,79.168074,79.168074,1.0,B300,438023,dynamo-sglang,fp4,mtp,256,single_turn,8192,1024,90,38,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-07-30,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/30431632620/attempts/1,Selected highest output TPS/MW measured row meeting median interactivity >= 70.
DeepSeek V4 Pro|B300|agentic|70,DeepSeek V4 Pro,dsv4,B300,agentic,70,True,71586.210526,94.607379,94.607379,1.0,B300,439520,vllm,fp4,mtp,16,agentic_traces,,,20,4,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-08-11,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31415828111/attempts/2,Selected highest output TPS/MW measured row meeting median interactivity >= 70.
DeepSeek V4 Pro|B300|short|100,DeepSeek V4 Pro,dsv4,B300,short,100,True,106813.080969,105.17783,105.17783,1.0,B300,434534,vllm,fp4,mtp,8,single_turn,1024,1024,71,17,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-07-12,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/29177379558/attempts/1,Selected highest output TPS/MW measured row meeting median interactivity >= 100.
DeepSeek V4 Pro|B300|long|100,DeepSeek V4 Pro,dsv4,B300,long,100,True,108903.627904,124.122038,124.122038,1.0,B300,438026,dynamo-sglang,fp4,mtp,64,single_turn,8192,1024,90,20,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-07-30,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/30431632620/attempts/1,Selected highest output TPS/MW measured row meeting median interactivity >= 100.
DeepSeek V4 Pro|B300|agentic|100,DeepSeek V4 Pro,dsv4,B300,agentic,100,True,44693.952632,138.312586,138.312586,1.0,B300,439524,vllm,fp4,mtp,8,agentic_traces,,,20,3,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-08-11,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31415828111/attempts/2,Selected highest output TPS/MW measured row meeting median interactivity >= 100.
DeepSeek V4 Pro|GB200|short|30,DeepSeek V4 Pro,dsv4,GB200,short,30,True,72466.303346,37.210679,37.210679,1.0,GB200,202475,dynamo-vllm,fp4,none,32,single_turn,1024,1024,9,5,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-04-25,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/24921817337/attempts/3,Selected highest output TPS/MW measured row meeting median interactivity >= 30.
DeepSeek V4 Pro|GB200|long|30,DeepSeek V4 Pro,dsv4,GB200,long,30,True,2252081.955332,57.013498,57.013498,1.0,GB200,427997,dynamo-sglang,fp4,mtp,16384,single_turn,8192,1024,44,29,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-24,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27277662400/attempts/7,Selected highest output TPS/MW measured row meeting median interactivity >= 30.
DeepSeek V4 Pro|GB200|agentic|30,DeepSeek V4 Pro,dsv4,GB200,agentic,30,True,108888.631016,33.134526,33.134526,0.9144385,B200,439283,vllm,fp4,mtp,72,agentic_traces,,,27,25,InferenceX_scaled_exact_model_target_met,InferenceX_scaled_exact_model,2026-08-08,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31192602558/attempts/3,"Measured B200 TPS/MW multiplied by the HBM-bandwidth/all-in-power ratio 0.9144x; source interactivity/concurrency/precision retained, then selected the highest source row meeting 30."
DeepSeek V4 Pro|GB200|short|50,DeepSeek V4 Pro,dsv4,GB200,short,50,True,26792.140242,55.691012,55.691012,1.0,GB200,202472,dynamo-vllm,fp4,none,8,single_turn,1024,1024,9,3,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-04-25,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/24921817337/attempts/3,Selected highest output TPS/MW measured row meeting median interactivity >= 50.
DeepSeek V4 Pro|GB200|long|50,DeepSeek V4 Pro,dsv4,GB200,long,50,True,2252081.955332,57.013498,57.013498,1.0,GB200,427997,dynamo-sglang,fp4,mtp,16384,single_turn,8192,1024,44,18,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-24,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27277662400/attempts/7,Selected highest output TPS/MW measured row meeting median interactivity >= 50.
DeepSeek V4 Pro|GB200|agentic|50,DeepSeek V4 Pro,dsv4,GB200,agentic,50,True,74663.347594,53.734551,53.734551,0.9144385,B200,439277,vllm,fp4,mtp,40,agentic_traces,,,27,17,InferenceX_scaled_exact_model_target_met,InferenceX_scaled_exact_model,2026-08-08,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31192602558/attempts/3,"Measured B200 TPS/MW multiplied by the HBM-bandwidth/all-in-power ratio 0.9144x; source interactivity/concurrency/precision retained, then selected the highest source row meeting 50."
DeepSeek V4 Pro|GB200|short|70,DeepSeek V4 Pro,dsv4,GB200,short,70,True,2817.421407,76.114837,76.114837,1.0,GB200,202471,dynamo-vllm,fp4,none,1,single_turn,1024,1024,9,1,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-04-25,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/24921817337/attempts/3,Selected highest output TPS/MW measured row meeting median interactivity >= 70.
DeepSeek V4 Pro|GB200|long|70,DeepSeek V4 Pro,dsv4,GB200,long,70,True,1527370.082392,75.652935,75.652935,1.0,GB200,427996,dynamo-sglang,fp4,mtp,6144,single_turn,8192,1024,44,14,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-24,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27277662400/attempts/7,Selected highest output TPS/MW measured row meeting median interactivity >= 70.
DeepSeek V4 Pro|GB200|agentic|70,DeepSeek V4 Pro,dsv4,GB200,agentic,70,True,36033.010695,88.028169,88.028169,0.9144385,B200,439274,vllm,fp4,mtp,16,agentic_traces,,,27,11,InferenceX_scaled_exact_model_target_met,InferenceX_scaled_exact_model,2026-08-08,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31192602558/attempts/3,"Measured B200 TPS/MW multiplied by the HBM-bandwidth/all-in-power ratio 0.9144x; source interactivity/concurrency/precision retained, then selected the highest source row meeting 70."
DeepSeek V4 Pro|GB200|short|100,DeepSeek V4 Pro,dsv4,GB200,short,100,False,,,,1.0,GB200,,,,,,single_turn,1024,1024,9,0,unavailable_target_not_met,InferenceX_exact_model_unavailable,,,No benchmark point reaches the requested interactivity; left blank (no edge-row reuse).
DeepSeek V4 Pro|GB200|long|100,DeepSeek V4 Pro,dsv4,GB200,long,100,True,769357.42216,107.032426,107.032426,1.0,GB200,427995,dynamo-sglang,fp4,mtp,2048,single_turn,8192,1024,44,7,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-24,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27277662400/attempts/7,Selected highest output TPS/MW measured row meeting median interactivity >= 100.
DeepSeek V4 Pro|GB200|agentic|100,DeepSeek V4 Pro,dsv4,GB200,agentic,100,True,28586.652406,110.987791,110.987791,0.9144385,B200,439268,vllm,fp4,mtp,12,agentic_traces,,,27,7,InferenceX_scaled_exact_model_target_met,InferenceX_scaled_exact_model,2026-08-08,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31192602558/attempts/3,"Measured B200 TPS/MW multiplied by the HBM-bandwidth/all-in-power ratio 0.9144x; source interactivity/concurrency/precision retained, then selected the highest source row meeting 100."
DeepSeek V4 Pro|GB300|short|30,DeepSeek V4 Pro,dsv4,GB300,short,30,True,3939721.851134,37.030985,37.030985,1.0,GB300,424202,dynamo-trt,fp4,mtp,4301,single_turn,1024,1024,28,24,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-15,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27164980476/attempts/14,Selected highest output TPS/MW measured row meeting median interactivity >= 30.
DeepSeek V4 Pro|GB300|long|30,DeepSeek V4 Pro,dsv4,GB300,long,30,True,3351414.681049,33.947183,33.947183,1.0,GB300,424208,dynamo-trt,fp4,mtp,2253,single_turn,8192,1024,57,44,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-15,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27164980476/attempts/14,Selected highest output TPS/MW measured row meeting median interactivity >= 30.
DeepSeek V4 Pro|GB300|agentic|30,DeepSeek V4 Pro,dsv4,GB300,agentic,30,True,259761.235849,40.5515,40.5515,1.0,GB300,439331,dynamo-sglang,fp4,mtp,1536,agentic_traces,,,9,9,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-08-10,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31275542474/attempts/4,Selected highest output TPS/MW measured row meeting median interactivity >= 30.
DeepSeek V4 Pro|GB300|short|50,DeepSeek V4 Pro,dsv4,GB300,short,50,True,2816060.185385,53.883074,53.883074,1.0,GB300,424190,dynamo-trt,fp4,mtp,4301,single_turn,1024,1024,28,18,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-15,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27164980476/attempts/14,Selected highest output TPS/MW measured row meeting median interactivity >= 50.
DeepSeek V4 Pro|GB300|long|50,DeepSeek V4 Pro,dsv4,GB300,long,50,True,1669415.886722,74.262902,74.262902,1.0,GB300,424198,dynamo-trt,fp4,mtp,1229,single_turn,8192,1024,57,29,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-15,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27164980476/attempts/14,Selected highest output TPS/MW measured row meeting median interactivity >= 50.
DeepSeek V4 Pro|GB300|agentic|50,DeepSeek V4 Pro,dsv4,GB300,agentic,50,True,235161.108491,59.665871,59.665871,1.0,GB300,439334,dynamo-sglang,fp4,mtp,768,agentic_traces,,,9,8,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-08-10,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31275542474/attempts/4,Selected highest output TPS/MW measured row meeting median interactivity >= 50.
DeepSeek V4 Pro|GB300|short|70,DeepSeek V4 Pro,dsv4,GB300,short,70,True,1875330.328851,81.22707,81.22707,1.0,GB300,424188,dynamo-trt,fp4,mtp,2253,single_turn,1024,1024,28,14,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-15,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27164980476/attempts/14,Selected highest output TPS/MW measured row meeting median interactivity >= 70.
DeepSeek V4 Pro|GB300|long|70,DeepSeek V4 Pro,dsv4,GB300,long,70,True,1669415.886722,74.262902,74.262902,1.0,GB300,424198,dynamo-trt,fp4,mtp,1229,single_turn,8192,1024,57,24,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-15,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27164980476/attempts/14,Selected highest output TPS/MW measured row meeting median interactivity >= 70.
DeepSeek V4 Pro|GB300|agentic|70,DeepSeek V4 Pro,dsv4,GB300,agentic,70,True,140344.306604,86.655113,86.655113,1.0,GB300,439332,dynamo-sglang,fp4,mtp,256,agentic_traces,,,9,5,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-08-10,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31275542474/attempts/4,Selected highest output TPS/MW measured row meeting median interactivity >= 70.
DeepSeek V4 Pro|GB300|short|100,DeepSeek V4 Pro,dsv4,GB300,short,100,True,656307.415419,115.070451,115.070451,1.0,GB300,424193,dynamo-trt,fp4,mtp,615,single_turn,1024,1024,28,9,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-15,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27164980476/attempts/14,Selected highest output TPS/MW measured row meeting median interactivity >= 100.
DeepSeek V4 Pro|GB300|long|100,DeepSeek V4 Pro,dsv4,GB300,long,100,True,628688.538904,111.211737,111.211737,1.0,GB300,424183,dynamo-trt,fp4,mtp,615,single_turn,8192,1024,57,14,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-06-15,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/27164980476/attempts/14,Selected highest output TPS/MW measured row meeting median interactivity >= 100.
DeepSeek V4 Pro|GB300|agentic|100,DeepSeek V4 Pro,dsv4,GB300,agentic,100,True,38554.872642,127.877238,127.877238,1.0,GB300,439333,dynamo-sglang,fp4,mtp,8,agentic_traces,,,9,3,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-08-10,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31275542474/attempts/4,Selected highest output TPS/MW measured row meeting median interactivity >= 100.
DeepSeek V4 Pro|R200|short|30,DeepSeek V4 Pro,dsv4,R200,short,30,False,,,,,B300,,,,,,single_turn,1024,1024,71,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
DeepSeek V4 Pro|R200|long|30,DeepSeek V4 Pro,dsv4,R200,long,30,False,,,,,B300,,,,,,single_turn,8192,1024,90,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
DeepSeek V4 Pro|R200|agentic|30,DeepSeek V4 Pro,dsv4,R200,agentic,30,False,,,,,B300,,,,,,agentic_traces,,,20,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
DeepSeek V4 Pro|R200|short|50,DeepSeek V4 Pro,dsv4,R200,short,50,False,,,,,B300,,,,,,single_turn,1024,1024,71,0,unavailable_missing_hbm_bandwidth_or_all_in_power,InferenceX_exact_model_unavailable,,,Enter both HBM bandwidth (TB/s) and all-in power (kW) in the GPU scaling inputs.
