proxy_model,gpu,interactivity_tok_s_user,general_chat_tps_per_mw,agentic_tps_per_mw,general_chat_concurrency,agentic_concurrency,general_chat_precision,agentic_precision,general_chat_framework,agentic_framework,general_chat_source_type,agentic_source_type
DeepSeek V4 Pro,VR200,50,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
DeepSeek V4 Pro,VR200,70,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
DeepSeek V4 Pro,VR200,100,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
DeepSeek V4 Pro,R300,30,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
DeepSeek V4 Pro,R300,50,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
DeepSeek V4 Pro,R300,70,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
DeepSeek V4 Pro,R300,100,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
DeepSeek V4 Pro,VR300,30,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
DeepSeek V4 Pro,VR300,50,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
DeepSeek V4 Pro,VR300,70,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
DeepSeek V4 Pro,VR300,100,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
DeepSeek V4 Pro,Post Rubin,30,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
DeepSeek V4 Pro,Post Rubin,50,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
DeepSeek V4 Pro,Post Rubin,70,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
DeepSeek V4 Pro,Post Rubin,100,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Kimi K2.5,H200,30,64866.509818,,16,,int4,,vllm,,InferenceX_direct_exact_model,InferenceX_exact_model_unavailable
Kimi K2.5,H200,50,48406.761177,,8,,int4,,vllm,,InferenceX_direct_exact_model,InferenceX_exact_model_unavailable
Kimi K2.5,H200,70,48406.761177,,8,,int4,,vllm,,InferenceX_direct_exact_model,InferenceX_exact_model_unavailable
Kimi K2.5,H200,100,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Kimi K2.5,B200,30,2335371.457059,,1127,,fp4,,dynamo-trt,,InferenceX_direct_exact_model,InferenceX_exact_model_unavailable
Kimi K2.5,B200,50,316457.63603,,512,,fp4,,dynamo-vllm,,InferenceX_direct_exact_model,InferenceX_exact_model_unavailable
Kimi K2.5,B200,70,193807.711585,,115,,fp4,,dynamo-trt,,InferenceX_direct_exact_model,InferenceX_exact_model_unavailable
Kimi K2.5,B200,100,121421.699544,,60,,fp4,,dynamo-trt,,InferenceX_direct_exact_model,InferenceX_exact_model_unavailable
Kimi K2.5,B300,30,275353.667577,,64,,fp4,,vllm,,InferenceX_direct_exact_model,InferenceX_exact_model_unavailable
Kimi K2.5,B300,50,205221.176275,,32,,fp4,,vllm,,InferenceX_direct_exact_model,InferenceX_exact_model_unavailable
Kimi K2.5,B300,70,147315.165594,,16,,fp4,,vllm,,InferenceX_direct_exact_model,InferenceX_exact_model_unavailable
Kimi K2.5,B300,100,61516.42725,,4,,fp4,,vllm,,InferenceX_direct_exact_model,InferenceX_exact_model_unavailable
Kimi K2.5,GB200,30,2462470.372289,,2253,,fp4,,dynamo-trt,,InferenceX_direct_exact_model,InferenceX_exact_model_unavailable
Kimi K2.5,GB200,50,985185.484085,,1229,,fp4,,dynamo-trt,,InferenceX_direct_exact_model,InferenceX_exact_model_unavailable
Kimi K2.5,GB200,70,594793.835839,,666,,fp4,,dynamo-trt,,InferenceX_direct_exact_model,InferenceX_exact_model_unavailable
Kimi K2.5,GB200,100,109937.641485,,60,,fp4,,dynamo-trt,,InferenceX_direct_exact_model,InferenceX_exact_model_unavailable
Kimi K2.5,GB300,30,2177077.36017,,2253,,fp4,,dynamo-trt,,InferenceX_direct_exact_model,InferenceX_exact_model_unavailable
Kimi K2.5,GB300,50,877936.375657,,1229,,fp4,,dynamo-trt,,InferenceX_direct_exact_model,InferenceX_exact_model_unavailable
Kimi K2.5,GB300,70,520354.890274,,615,,fp4,,dynamo-trt,,InferenceX_direct_exact_model,InferenceX_exact_model_unavailable
Kimi K2.5,GB300,100,97638.697318,,60,,fp4,,dynamo-trt,,InferenceX_direct_exact_model,InferenceX_exact_model_unavailable
Kimi K2.5,R200,30,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Kimi K2.5,R200,50,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Kimi K2.5,R200,70,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Kimi K2.5,R200,100,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Kimi K2.5,VR200,30,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Kimi K2.5,VR200,50,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Kimi K2.5,VR200,70,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Kimi K2.5,VR200,100,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Kimi K2.5,R300,30,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Kimi K2.5,R300,50,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Kimi K2.5,R300,70,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Kimi K2.5,R300,100,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Kimi K2.5,VR300,30,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Kimi K2.5,VR300,50,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Kimi K2.5,VR300,70,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Kimi K2.5,VR300,100,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Kimi K2.5,Post Rubin,30,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Kimi K2.5,Post Rubin,50,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Kimi K2.5,Post Rubin,70,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Kimi K2.5,Post Rubin,100,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
MiniMax M3,H200,30,155730.779498,26884.240876,32,14,fp8,fp8,vllm,vllm,InferenceX_direct_exact_model,InferenceX_direct_exact_model
MiniMax M3,H200,50,135691.469024,9404.255474,16,4,fp8,fp8,vllm,vllm,InferenceX_direct_exact_model,InferenceX_direct_exact_model
MiniMax M3,H200,70,105930.582375,7841.635036,8,2,fp8,fp8,vllm,vllm,InferenceX_direct_exact_model,InferenceX_direct_exact_model
MiniMax M3,H200,100,78790.855009,7841.635036,4,2,fp8,fp8,vllm,vllm,InferenceX_direct_exact_model,InferenceX_direct_exact_model
MiniMax M3,B200,30,1286379.917054,171556.321637,1024,40,fp4,fp4,dynamo-vllm,vllm,InferenceX_direct_exact_model,InferenceX_direct_exact_model
MiniMax M3,B200,50,1286379.917054,171556.321637,1024,40,fp4,fp4,dynamo-vllm,vllm,InferenceX_direct_exact_model,InferenceX_direct_exact_model
MiniMax M3,B200,70,981729.157947,171556.321637,512,40,fp4,fp4,dynamo-vllm,vllm,InferenceX_direct_exact_model,InferenceX_direct_exact_model
MiniMax M3,B200,100,471919.176318,160702.146199,96,30,fp4,fp4,dynamo-vllm,vllm,InferenceX_direct_exact_model,InferenceX_direct_exact_model
MiniMax M3,B300,30,1632147.233619,205917.621053,4096,50,fp4,fp4,dynamo-vllm,vllm,InferenceX_direct_exact_model,InferenceX_direct_exact_model
MiniMax M3,B300,50,1488755.976908,205917.621053,512,50,fp4,fp4,dynamo-vllm,vllm,InferenceX_direct_exact_model,InferenceX_direct_exact_model
MiniMax M3,B300,70,1488755.976908,205917.621053,512,50,fp4,fp4,dynamo-vllm,vllm,InferenceX_direct_exact_model,InferenceX_direct_exact_model
MiniMax M3,B300,100,1488755.976908,194740.463158,512,40,fp4,fp4,dynamo-vllm,vllm,InferenceX_direct_exact_model,InferenceX_direct_exact_model
MiniMax M3,GB200,30,1845708.355198,156877.705882,4096,40,fp8,fp4,dynamo-vllm,vllm,InferenceX_direct_exact_model,InferenceX_scaled_exact_model
MiniMax M3,GB200,50,373792.816408,156877.705882,512,40,fp8,fp4,dynamo-vllm,vllm,InferenceX_direct_exact_model,InferenceX_scaled_exact_model
MiniMax M3,GB200,70,264585.7052,156877.705882,128,40,fp8,fp4,dynamo-vllm,vllm,InferenceX_direct_exact_model,InferenceX_scaled_exact_model
MiniMax M3,GB200,100,110364.097447,146952.229947,32,30,fp8,fp4,dynamo-vllm,vllm,InferenceX_direct_exact_model,InferenceX_scaled_exact_model
MiniMax M3,GB300,30,2103130.536847,138377.976415,2048,40,fp8,fp4,dynamo-vllm,vllm,InferenceX_direct_exact_model,InferenceX_scaled_exact_model
MiniMax M3,GB300,50,2103130.536847,138377.976415,2048,40,fp8,fp4,dynamo-vllm,vllm,InferenceX_direct_exact_model,InferenceX_scaled_exact_model
MiniMax M3,GB300,70,1431262.726168,138377.976415,2048,40,fp8,fp4,dynamo-vllm,vllm,InferenceX_direct_exact_model,InferenceX_scaled_exact_model
MiniMax M3,GB300,100,985339.712801,129622.957547,256,30,fp8,fp4,dynamo-vllm,vllm,InferenceX_direct_exact_model,InferenceX_scaled_exact_model
MiniMax M3,R200,30,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
MiniMax M3,R200,50,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
MiniMax M3,R200,70,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
MiniMax M3,R200,100,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
MiniMax M3,VR200,30,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
MiniMax M3,VR200,50,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
MiniMax M3,VR200,70,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
MiniMax M3,VR200,100,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
MiniMax M3,R300,30,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
MiniMax M3,R300,50,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
MiniMax M3,R300,70,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
MiniMax M3,R300,100,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
MiniMax M3,VR300,30,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
MiniMax M3,VR300,50,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
MiniMax M3,VR300,70,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
MiniMax M3,VR300,100,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
MiniMax M3,Post Rubin,30,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
MiniMax M3,Post Rubin,50,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
MiniMax M3,Post Rubin,70,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
MiniMax M3,Post Rubin,100,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
GLM 5.2,H200,30,54658.735326,5541.729927,16,12,fp8,fp8,sglang,dynamo-sglang,InferenceX_direct_model_fallback,InferenceX_direct_exact_model
GLM 5.2,H200,50,40178.25014,5541.729927,8,12,fp8,fp8,sglang,dynamo-sglang,InferenceX_direct_model_fallback,InferenceX_direct_exact_model
GLM 5.2,H200,70,28242.557768,5541.729927,4,12,fp8,fp8,sglang,dynamo-sglang,InferenceX_direct_model_fallback,InferenceX_direct_exact_model
GLM 5.2,H200,100,,,,,,,,,InferenceX_model_fallback_unavailable,InferenceX_exact_model_unavailable
GLM 5.2,B200,30,197590.989834,30934.690058,32,12,fp4,fp4,sglang,sglang,InferenceX_direct_model_fallback,InferenceX_direct_exact_model
GLM 5.2,B200,50,147269.188915,30934.690058,16,12,fp4,fp4,sglang,sglang,InferenceX_direct_model_fallback,InferenceX_direct_exact_model
GLM 5.2,B200,70,104081.377299,30934.690058,8,12,fp4,fp4,sglang,sglang,InferenceX_direct_model_fallback,InferenceX_direct_exact_model
GLM 5.2,B200,100,71040.235259,30934.690058,4,12,fp4,fp4,sglang,sglang,InferenceX_direct_model_fallback,InferenceX_direct_exact_model
GLM 5.2,B300,30,185732.996618,40645.121053,32,16,fp4,fp4,sglang,sglang,InferenceX_direct_model_fallback,InferenceX_direct_exact_model
GLM 5.2,B300,50,133518.890679,40645.121053,16,16,fp4,fp4,sglang,sglang,InferenceX_direct_model_fallback,InferenceX_direct_exact_model
GLM 5.2,B300,70,94619.071867,40645.121053,8,16,fp4,fp4,sglang,sglang,InferenceX_direct_model_fallback,InferenceX_direct_exact_model
GLM 5.2,B300,100,63499.903269,40645.121053,4,16,fp4,fp4,sglang,sglang,InferenceX_direct_model_fallback,InferenceX_direct_exact_model
GLM 5.2,GB200,30,2480998.816075,28287.871658,2253,12,fp4,fp4,dynamo-trt,sglang,InferenceX_direct_model_fallback,InferenceX_scaled_exact_model
GLM 5.2,GB200,50,1747386.062728,28287.871658,1127,12,fp4,fp4,dynamo-trt,sglang,InferenceX_direct_model_fallback,InferenceX_scaled_exact_model
GLM 5.2,GB200,70,1231212.80607,28287.871658,615,12,fp4,fp4,dynamo-trt,sglang,InferenceX_direct_model_fallback,InferenceX_scaled_exact_model
GLM 5.2,GB200,100,222604.13847,28287.871658,180,12,fp4,fp4,dynamo-trt,sglang,InferenceX_direct_model_fallback,InferenceX_scaled_exact_model
GLM 5.2,GB300,30,2341921.279411,24952.037736,2253,12,fp4,fp4,dynamo-trt,sglang,InferenceX_direct_model_fallback,InferenceX_scaled_exact_model
GLM 5.2,GB300,50,1564640.034254,24952.037736,1229,12,fp4,fp4,dynamo-trt,sglang,InferenceX_direct_model_fallback,InferenceX_scaled_exact_model
GLM 5.2,GB300,70,1112080.881832,24952.037736,615,12,fp4,fp4,dynamo-trt,sglang,InferenceX_direct_model_fallback,InferenceX_scaled_exact_model
GLM 5.2,GB300,100,360544.012388,24952.037736,333,12,fp4,fp4,dynamo-trt,sglang,InferenceX_direct_model_fallback,InferenceX_scaled_exact_model
GLM 5.2,R200,30,,,,,,,,,InferenceX_model_fallback_unavailable,InferenceX_exact_model_unavailable
GLM 5.2,R200,50,,,,,,,,,InferenceX_model_fallback_unavailable,InferenceX_exact_model_unavailable
GLM 5.2,R200,70,,,,,,,,,InferenceX_model_fallback_unavailable,InferenceX_exact_model_unavailable
GLM 5.2,R200,100,,,,,,,,,InferenceX_model_fallback_unavailable,InferenceX_exact_model_unavailable
GLM 5.2,VR200,30,,,,,,,,,InferenceX_model_fallback_unavailable,InferenceX_exact_model_unavailable
GLM 5.2,VR200,50,,,,,,,,,InferenceX_model_fallback_unavailable,InferenceX_exact_model_unavailable
GLM 5.2,VR200,70,,,,,,,,,InferenceX_model_fallback_unavailable,InferenceX_exact_model_unavailable
GLM 5.2,VR200,100,,,,,,,,,InferenceX_model_fallback_unavailable,InferenceX_exact_model_unavailable
GLM 5.2,R300,30,,,,,,,,,InferenceX_model_fallback_unavailable,InferenceX_exact_model_unavailable
GLM 5.2,R300,50,,,,,,,,,InferenceX_model_fallback_unavailable,InferenceX_exact_model_unavailable
GLM 5.2,R300,70,,,,,,,,,InferenceX_model_fallback_unavailable,InferenceX_exact_model_unavailable
GLM 5.2,R300,100,,,,,,,,,InferenceX_model_fallback_unavailable,InferenceX_exact_model_unavailable
GLM 5.2,VR300,30,,,,,,,,,InferenceX_model_fallback_unavailable,InferenceX_exact_model_unavailable
GLM 5.2,VR300,50,,,,,,,,,InferenceX_model_fallback_unavailable,InferenceX_exact_model_unavailable
GLM 5.2,VR300,70,,,,,,,,,InferenceX_model_fallback_unavailable,InferenceX_exact_model_unavailable
GLM 5.2,VR300,100,,,,,,,,,InferenceX_model_fallback_unavailable,InferenceX_exact_model_unavailable
GLM 5.2,Post Rubin,30,,,,,,,,,InferenceX_model_fallback_unavailable,InferenceX_exact_model_unavailable
GLM 5.2,Post Rubin,50,,,,,,,,,InferenceX_model_fallback_unavailable,InferenceX_exact_model_unavailable
GLM 5.2,Post Rubin,70,,,,,,,,,InferenceX_model_fallback_unavailable,InferenceX_exact_model_unavailable
GLM 5.2,Post Rubin,100,,,,,,,,,InferenceX_model_fallback_unavailable,InferenceX_exact_model_unavailable
Qwen 3.5,H200,30,146202.631124,61095.408759,32,16,fp8,fp8,sglang,sglang,InferenceX_direct_exact_model,InferenceX_direct_exact_model
Qwen 3.5,H200,50,146202.631124,61095.408759,32,16,fp8,fp8,sglang,sglang,InferenceX_direct_exact_model,InferenceX_direct_exact_model
Qwen 3.5,H200,70,116502.74887,61095.408759,16,16,fp8,fp8,sglang,sglang,InferenceX_direct_exact_model,InferenceX_direct_exact_model
Qwen 3.5,H200,100,87161.075287,61095.408759,8,16,fp8,fp8,sglang,sglang,InferenceX_direct_exact_model,InferenceX_direct_exact_model
Qwen 3.5,B200,30,856935.883405,369845.28655,256,32,fp4,fp4,trt,sglang,InferenceX_direct_exact_model,InferenceX_direct_exact_model
Qwen 3.5,B200,50,856935.883405,369845.28655,256,32,fp4,fp4,trt,sglang,InferenceX_direct_exact_model,InferenceX_direct_exact_model
Qwen 3.5,B200,70,643417.251735,369845.28655,128,32,fp4,fp4,trt,sglang,InferenceX_direct_exact_model,InferenceX_direct_exact_model
Qwen 3.5,B200,100,488749.395224,369845.28655,16,32,fp4,fp4,trt,sglang,InferenceX_direct_exact_model,InferenceX_direct_exact_model
Qwen 3.5,B300,30,1071155.438705,532687.931579,128,56,fp4,fp4,sglang,sglang,InferenceX_direct_exact_model,InferenceX_direct_exact_model
Qwen 3.5,B300,50,862894.053402,532687.931579,64,56,fp4,fp4,sglang,sglang,InferenceX_direct_exact_model,InferenceX_direct_exact_model
Qwen 3.5,B300,70,668917.034841,532687.931579,32,56,fp4,fp4,sglang,sglang,InferenceX_direct_exact_model,InferenceX_direct_exact_model
Qwen 3.5,B300,100,486372.096388,457441.084211,16,44,fp4,fp4,sglang,sglang,InferenceX_direct_exact_model,InferenceX_direct_exact_model
Qwen 3.5,GB200,30,2262307.43934,294547.320856,2304,56,fp8,fp4,dynamo-sglang,dynamo-sglang,InferenceX_direct_exact_model,InferenceX_direct_exact_model
Qwen 3.5,GB200,50,2182337.314926,294547.320856,1920,56,fp8,fp4,dynamo-sglang,dynamo-sglang,InferenceX_direct_exact_model,InferenceX_direct_exact_model
Qwen 3.5,GB200,70,1635282.54844,294547.320856,1280,56,fp8,fp4,dynamo-sglang,dynamo-sglang,InferenceX_direct_exact_model,InferenceX_direct_exact_model
Qwen 3.5,GB200,100,817479.855796,294547.320856,480,56,fp8,fp4,dynamo-sglang,dynamo-sglang,InferenceX_direct_exact_model,InferenceX_direct_exact_model
Qwen 3.5,GB300,30,3251808.168415,458490.382075,1536,64,fp4,fp4,dynamo-trt,dynamo-sglang,InferenceX_direct_exact_model,InferenceX_direct_exact_model
Qwen 3.5,GB300,50,2366497.25644,448277.037736,1536,52,fp4,fp4,dynamo-trt,dynamo-sglang,InferenceX_direct_exact_model,InferenceX_direct_exact_model
Qwen 3.5,GB300,70,2366497.25644,448277.037736,1536,52,fp4,fp4,dynamo-trt,dynamo-sglang,InferenceX_direct_exact_model,InferenceX_direct_exact_model
Qwen 3.5,GB300,100,1046468.561133,386529.933962,384,72,fp4,fp4,dynamo-trt,dynamo-sglang,InferenceX_direct_exact_model,InferenceX_direct_exact_model
Qwen 3.5,R200,30,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Qwen 3.5,R200,50,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Qwen 3.5,R200,70,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Qwen 3.5,R200,100,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Qwen 3.5,VR200,30,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Qwen 3.5,VR200,50,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Qwen 3.5,VR200,70,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Qwen 3.5,VR200,100,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Qwen 3.5,R300,30,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Qwen 3.5,R300,50,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Qwen 3.5,R300,70,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Qwen 3.5,R300,100,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Qwen 3.5,VR300,30,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Qwen 3.5,VR300,50,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Qwen 3.5,VR300,70,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Qwen 3.5,VR300,100,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Qwen 3.5,Post Rubin,30,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Qwen 3.5,Post Rubin,50,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Qwen 3.5,Post Rubin,70,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
Qwen 3.5,Post Rubin,100,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
