source_section,target_section,source_metric,target_metric,lag_quarters,timing,observations,corr,r_squared,beta_target_per_1_source
AI Chip,AI Platforms,cost_of_revenue_usd_m,revenue_usd_m,6,source leads,25,-0.1781095579253835,0.03172301462437554,-0.3345417174207474
AI Chip,AI Platforms,cost_of_revenue_usd_m,revenue_usd_m,7,source leads,24,-0.10831915913461444,0.011733040235629927,-0.2049198334151675
AI Chip,AI Platforms,cost_of_revenue_usd_m,revenue_usd_m,8,source leads,23,0.013453861832101717,0.00018100639819728336,0.025794078359401357
AI Chip,AI Software,cost_of_revenue_usd_m,revenue_usd_m,-8,target leads,20,-0.1061928254278323,0.011276916172346066,-0.027932330866260468
AI Chip,AI Software,cost_of_revenue_usd_m,revenue_usd_m,-7,target leads,21,-0.2564726338191318,0.06577821189812248,-0.07414866235551167
AI Chip,AI Software,cost_of_revenue_usd_m,revenue_usd_m,-6,target leads,22,-0.260319884557561,0.06776644229606188,-0.07676352363152533
AI Chip,AI Software,cost_of_revenue_usd_m,revenue_usd_m,-5,target leads,23,-0.23944217519299338,0.057332555261152135,-0.07134212057444585
AI Chip,AI Software,cost_of_revenue_usd_m,revenue_usd_m,-4,target leads,24,-0.322401287925184,0.10394259045581741,-0.10418939995671321
AI Chip,AI Software,cost_of_revenue_usd_m,revenue_usd_m,-3,target leads,25,-0.08226356505353404,0.006767294135317026,-0.02842688678388412
AI Chip,AI Software,cost_of_revenue_usd_m,revenue_usd_m,-2,target leads,26,-0.07252024120312728,0.005259185384159759,-0.026002921313625936
AI Chip,AI Software,cost_of_revenue_usd_m,revenue_usd_m,-1,target leads,27,-0.03877568762231556,0.0015035539505833964,-0.01469807125145206
AI Chip,AI Software,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,28,0.6115355675566119,0.3739757503867874,0.41686676550054796
AI Chip,AI Software,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,27,-0.12790130602283284,0.016358744082346336,-0.1065869197632848
AI Chip,AI Software,cost_of_revenue_usd_m,revenue_usd_m,2,source leads,26,-0.19217370247043503,0.03693073192119529,-0.16287966624501515
AI Chip,AI Software,cost_of_revenue_usd_m,revenue_usd_m,3,source leads,25,-0.25298569162822493,0.06400176016861131,-0.21572427331605654
AI Chip,AI Software,cost_of_revenue_usd_m,revenue_usd_m,4,source leads,24,-0.35945824281904365,0.12921022833055454,-0.3086035153227783
AI Chip,AI Software,cost_of_revenue_usd_m,revenue_usd_m,5,source leads,23,0.008749150668402947,7.654763741841572e-05,0.007501287091667116
AI Chip,AI Software,cost_of_revenue_usd_m,revenue_usd_m,6,source leads,22,0.07007471303651754,0.004910465407150281,0.05990650575036364
AI Chip,AI Software,cost_of_revenue_usd_m,revenue_usd_m,7,source leads,21,0.18843300487951772,0.03550699732792435,0.16027132128437038
AI Chip,AI Software,cost_of_revenue_usd_m,revenue_usd_m,8,source leads,20,0.3265003582030151,0.10660248390669716,0.2779876838361534
AI Chip,CPU,cost_of_revenue_usd_m,revenue_usd_m,-8,target leads,22,0.4027546712116884,0.16221132518283524,0.12969839179091397
AI Chip,CPU,cost_of_revenue_usd_m,revenue_usd_m,-7,target leads,23,0.3422080377267183,0.11710634108477107,0.10983126697076605
AI Chip,CPU,cost_of_revenue_usd_m,revenue_usd_m,-6,target leads,24,0.07952361725665075,0.006324005701582281,0.025566131878128128
AI Chip,CPU,cost_of_revenue_usd_m,revenue_usd_m,-5,target leads,25,-0.27071087763809343,0.07328437927158679,-0.08754250040129767
AI Chip,CPU,cost_of_revenue_usd_m,revenue_usd_m,-4,target leads,26,-0.20471052732569978,0.041906399997966075,-0.06608337569139337
AI Chip,CPU,cost_of_revenue_usd_m,revenue_usd_m,-3,target leads,27,-0.13680633691961555,0.018715973821363367,-0.044135457151274794
AI Chip,CPU,cost_of_revenue_usd_m,revenue_usd_m,-2,target leads,28,-0.1057210993061739,0.011176950838505884,-0.034109546871311076
AI Chip,CPU,cost_of_revenue_usd_m,revenue_usd_m,-1,target leads,29,0.16986261212676396,0.028853306998527457,0.9124833508570291
AI Chip,CPU,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,30,0.3828494563286575,0.14657370621114865,2.6908636712781107
AI Chip,CPU,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,29,0.6387228248007522,0.40796684692145235,4.554735213903741
AI Chip,CPU,cost_of_revenue_usd_m,revenue_usd_m,2,source leads,28,0.23301123762802084,0.054294236860941994,1.78458417589203
AI Chip,CPU,cost_of_revenue_usd_m,revenue_usd_m,3,source leads,27,-0.2628829056267652,0.06910742207077074,-2.471825761665621
AI Chip,CPU,cost_of_revenue_usd_m,revenue_usd_m,4,source leads,26,-0.2339726659256223,0.05474320840034286,-2.24393125919201
AI Chip,CPU,cost_of_revenue_usd_m,revenue_usd_m,5,source leads,25,-0.2533914237730298,0.06420721364172317,-2.4543683893156936
AI Chip,CPU,cost_of_revenue_usd_m,revenue_usd_m,6,source leads,24,-0.05036151877267685,0.0025362825730906825,-0.4929078244501075
AI Chip,CPU,cost_of_revenue_usd_m,revenue_usd_m,7,source leads,23,0.037720326388128715,0.0014228230228269594,0.3745472659780275
AI Chip,CPU,cost_of_revenue_usd_m,revenue_usd_m,8,source leads,22,-0.06626946465522293,0.0043916419456898415,-0.6584532977312804
AI Chip,Cooling,cost_of_revenue_usd_m,revenue_usd_m,-8,target leads,23,0.29037919674450696,0.08432007790198508,0.09628624165570537
AI Chip,Cooling,cost_of_revenue_usd_m,revenue_usd_m,-7,target leads,24,0.21613458798997512,0.046714160125596295,0.07467027411530777
AI Chip,Cooling,cost_of_revenue_usd_m,revenue_usd_m,-6,target leads,25,0.025838541793883042,0.0006676302420342407,0.009928965561569855
AI Chip,Cooling,cost_of_revenue_usd_m,revenue_usd_m,-5,target leads,26,-0.37710637253762974,0.14220921620848959,-0.1554234748347002
AI Chip,Cooling,cost_of_revenue_usd_m,revenue_usd_m,-4,target leads,27,-0.4354697112794251,0.18963386944178584,-0.17927875260286552
AI Chip,Cooling,cost_of_revenue_usd_m,revenue_usd_m,-3,target leads,28,-0.43082653319762687,0.1856115017070859,-0.17963359290824485
AI Chip,Cooling,cost_of_revenue_usd_m,revenue_usd_m,-2,target leads,29,-0.2476606933602262,0.06133581903566799,-0.10480016130501539
AI Chip,Cooling,cost_of_revenue_usd_m,revenue_usd_m,-1,target leads,30,0.17610013985104073,0.031011259255556103,2.657180481581739
AI Chip,Cooling,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,31,0.409041147922014,0.16731466069335896,6.6468795920628
AI Chip,Cooling,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,30,0.6418130565160666,0.41192399951449565,10.589132459865224
AI Chip,Cooling,cost_of_revenue_usd_m,revenue_usd_m,2,source leads,29,0.06772936901381832,0.004587267427009973,1.2019208528037175
AI Chip,Cooling,cost_of_revenue_usd_m,revenue_usd_m,3,source leads,28,-0.21063008376572584,0.044365032187156685,-4.59474138217928
AI Chip,Cooling,cost_of_revenue_usd_m,revenue_usd_m,4,source leads,27,-0.1968086465102905,0.03873364334121249,-4.378436648720712
AI Chip,Cooling,cost_of_revenue_usd_m,revenue_usd_m,5,source leads,26,-0.21515443681084906,0.04629143167939364,-4.8369385807844925
AI Chip,Cooling,cost_of_revenue_usd_m,revenue_usd_m,6,source leads,25,-0.15780201247861664,0.024901475142301482,-3.5849637847557423
AI Chip,Cooling,cost_of_revenue_usd_m,revenue_usd_m,7,source leads,24,0.046632640572317446,0.002174603166746947,1.0746985561270779
AI Chip,Cooling,cost_of_revenue_usd_m,revenue_usd_m,8,source leads,23,0.0033429984847602088,1.1175638869109053e-05,0.0773704898593451
AI Chip,DRAM,cost_of_revenue_usd_m,revenue_usd_m,-8,target leads,20,-0.15007701133826948,0.022523109332227065,-0.10309941354944137
AI Chip,DRAM,cost_of_revenue_usd_m,revenue_usd_m,-7,target leads,21,0.020749696133557587,0.00043054988963497464,0.015870491639805633
AI Chip,DRAM,cost_of_revenue_usd_m,revenue_usd_m,-6,target leads,22,-0.11967501544558169,0.014322109321900216,-0.10460455804338696
AI Chip,DRAM,cost_of_revenue_usd_m,revenue_usd_m,-5,target leads,23,-0.15004775564039333,0.022514328972719187,-0.14417919580551725
AI Chip,DRAM,cost_of_revenue_usd_m,revenue_usd_m,-4,target leads,24,-0.6074735886608659,0.3690241609205109,-0.635861725745767
AI Chip,DRAM,cost_of_revenue_usd_m,revenue_usd_m,-3,target leads,25,-0.37502527734274693,0.14064395864600426,-0.4204613472249725
AI Chip,DRAM,cost_of_revenue_usd_m,revenue_usd_m,-2,target leads,26,-0.028014345884063964,0.0007848035753119716,-0.03312491580133042
AI Chip,DRAM,cost_of_revenue_usd_m,revenue_usd_m,-1,target leads,27,0.136866059773077,0.018732318317807486,0.16923893950839353
AI Chip,DRAM,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,28,0.34157400390630765,0.11667280014458628,0.4248593755983299
AI Chip,DRAM,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,27,0.3551383404737119,0.12612324087442212,0.5310312130909323
AI Chip,DRAM,cost_of_revenue_usd_m,revenue_usd_m,2,source leads,26,0.09292175031317883,0.008634451681264749,0.13957664676042167
AI Chip,DRAM,cost_of_revenue_usd_m,revenue_usd_m,3,source leads,25,-0.05984969784877355,0.0035819863325894895,-0.0909379925352879
AI Chip,DRAM,cost_of_revenue_usd_m,revenue_usd_m,4,source leads,24,-0.19570635596702302,0.03830097776589113,-0.30074550303294234
AI Chip,DRAM,cost_of_revenue_usd_m,revenue_usd_m,5,source leads,23,-0.2859690618968632,0.08177830436217198,-0.444108540130503
AI Chip,DRAM,cost_of_revenue_usd_m,revenue_usd_m,6,source leads,22,-0.20156891640073854,0.04063002805896792,-0.3105400758469113
AI Chip,DRAM,cost_of_revenue_usd_m,revenue_usd_m,7,source leads,21,0.011132682682006432,0.0001239366236982459,0.01703579663141652
AI Chip,DRAM,cost_of_revenue_usd_m,revenue_usd_m,8,source leads,20,0.3507260490141341,0.12300876145706481,0.5352732378037316
AI Chip,Energy,cost_of_revenue_usd_m,revenue_usd_m,-8,target leads,22,0.36793509844131655,0.1353762366650213,1.7259403085766907
AI Chip,Energy,cost_of_revenue_usd_m,revenue_usd_m,-7,target leads,23,0.5406813194435068,0.29233628919517146,2.5346380554769268
AI Chip,Energy,cost_of_revenue_usd_m,revenue_usd_m,-6,target leads,24,0.002205104236246188,4.862484692710883e-06,0.010355793411800065
AI Chip,Energy,cost_of_revenue_usd_m,revenue_usd_m,-5,target leads,24,0.015095040232124914,0.00022786023960946977,0.07112879272643538
AI Chip,Energy,cost_of_revenue_usd_m,revenue_usd_m,-4,target leads,25,0.02427456684360002,0.0005892545954444055,0.11458439033663302
AI Chip,Energy,cost_of_revenue_usd_m,revenue_usd_m,-3,target leads,26,-0.10385086838553065,0.010785002864428808,-0.49168268577533053
AI Chip,Energy,cost_of_revenue_usd_m,revenue_usd_m,-2,target leads,27,0.054779488366914535,0.003000792345740925,0.26011554483617777
AI Chip,Energy,cost_of_revenue_usd_m,revenue_usd_m,-1,target leads,28,0.06507282486984042,0.004234472536540922,0.3087908070947557
AI Chip,Energy,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,29,0.38688520845425106,0.1496801645206893,0.42730275456265704
AI Chip,Energy,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,28,-0.049688992512287616,0.0024689959768861747,-0.2909400764871208
AI Chip,Energy,cost_of_revenue_usd_m,revenue_usd_m,2,source leads,27,-0.028423109646659346,0.0008078731619860196,-0.16983755082585208
AI Chip,Energy,cost_of_revenue_usd_m,revenue_usd_m,3,source leads,26,0.07475940474339716,0.005588968597587074,0.45142932842438716
AI Chip,Energy,cost_of_revenue_usd_m,revenue_usd_m,4,source leads,25,-0.06838426191683164,0.00467640727790983,-0.41491387121045464
AI Chip,Energy,cost_of_revenue_usd_m,revenue_usd_m,5,source leads,24,0.07898618980121794,0.006238818179314025,0.48838165505885267
AI Chip,Energy,cost_of_revenue_usd_m,revenue_usd_m,6,source leads,23,0.17479915778373875,0.030554745561904396,0.2505058267213212
AI Chip,Energy,cost_of_revenue_usd_m,revenue_usd_m,7,source leads,22,0.1288917843241221,0.016613092066256007,0.18461281503239327
AI Chip,Energy,cost_of_revenue_usd_m,revenue_usd_m,8,source leads,21,0.03439029130449199,0.0011826921360078174,0.04920116713590219
AI Chip,HW equipment,cost_of_revenue_usd_m,revenue_usd_m,-8,target leads,23,-0.07661226479181404,0.00586943911653103,-1.330335194379071
AI Chip,HW equipment,cost_of_revenue_usd_m,revenue_usd_m,-7,target leads,24,0.006129613049528055,3.7572156136944627e-05,0.10920409712013672
AI Chip,HW equipment,cost_of_revenue_usd_m,revenue_usd_m,-6,target leads,25,0.40859550545888673,0.16695028708120313,7.269038890659876
AI Chip,HW equipment,cost_of_revenue_usd_m,revenue_usd_m,-5,target leads,26,0.5867359137847179,0.3442590325247879,10.443102729548498
AI Chip,HW equipment,cost_of_revenue_usd_m,revenue_usd_m,-4,target leads,27,-0.04811017154907379,0.002314588606481309,-0.8550892386014488
AI Chip,HW equipment,cost_of_revenue_usd_m,revenue_usd_m,-3,target leads,28,-0.03294862603461613,0.001085611957568984,-0.5863934571864305
AI Chip,HW equipment,cost_of_revenue_usd_m,revenue_usd_m,-2,target leads,29,-0.003201949556429484,1.025248096191897e-05,-0.05695946182593179
AI Chip,HW equipment,cost_of_revenue_usd_m,revenue_usd_m,-1,target leads,30,-0.10881104724708271,0.011839844003006866,-1.930789791570239
AI Chip,HW equipment,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,31,-0.07620807106943231,0.0058076700961236455,-1.3511296101569694
AI Chip,HW equipment,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,30,0.09357833048519616,0.008756903936396594,1.6849007124784632
AI Chip,HW equipment,cost_of_revenue_usd_m,revenue_usd_m,2,source leads,29,-0.04371194455816385,0.0019107340970559903,-0.8465555847206327
AI Chip,HW equipment,cost_of_revenue_usd_m,revenue_usd_m,3,source leads,28,-0.0185592626858764,0.00034444623144336414,-0.4413325906473991
AI Chip,HW equipment,cost_of_revenue_usd_m,revenue_usd_m,4,source leads,27,0.0819253730752182,0.006711766753513687,1.9866229207229646
AI Chip,HW equipment,cost_of_revenue_usd_m,revenue_usd_m,5,source leads,26,-0.12161567345122913,0.014790372028995998,-2.979198323235061
AI Chip,HW equipment,cost_of_revenue_usd_m,revenue_usd_m,6,source leads,25,0.031629145587913646,0.0010004028506214373,0.7826924230692323
AI Chip,HW equipment,cost_of_revenue_usd_m,revenue_usd_m,7,source leads,24,-0.30476130746161484,0.09287945452571293,-2.1531039424947007
AI Chip,HW equipment,cost_of_revenue_usd_m,revenue_usd_m,8,source leads,23,-0.2832029225192973,0.08020389532347111,-2.0097592540646945
AI Chip,Hyperscalers,cost_of_revenue_usd_m,revenue_usd_m,-8,target leads,22,0.47272557941542903,0.2234694734336531,0.04495174150233456
AI Chip,Hyperscalers,cost_of_revenue_usd_m,revenue_usd_m,-7,target leads,23,0.23631931652973925,0.055846819365083095,0.023566679897747484
AI Chip,Hyperscalers,cost_of_revenue_usd_m,revenue_usd_m,-6,target leads,24,-0.1591343606971362,0.02532374475448625,-0.024057743336109397
AI Chip,Hyperscalers,cost_of_revenue_usd_m,revenue_usd_m,-5,target leads,25,-0.3534575665238501,0.1249322513329619,-0.07697875148363205
AI Chip,Hyperscalers,cost_of_revenue_usd_m,revenue_usd_m,-4,target leads,26,-0.6160596901073387,0.37952954177515025,-0.1482630388575154
AI Chip,Hyperscalers,cost_of_revenue_usd_m,revenue_usd_m,-3,target leads,27,-0.4843298921132588,0.2345754443944409,-0.1319049492968666
AI Chip,Hyperscalers,cost_of_revenue_usd_m,revenue_usd_m,-2,target leads,28,0.0036700697640639737,1.3469412073096592e-05,0.0015331167310976392
AI Chip,Hyperscalers,cost_of_revenue_usd_m,revenue_usd_m,-1,target leads,29,0.21509597874191766,0.046266280070943494,0.619880123178333
AI Chip,Hyperscalers,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,30,0.2625618020473606,0.06893869989435739,3.726728726579341
AI Chip,Hyperscalers,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,29,0.4687160659396275,0.21969475046992124,6.753994778664364
AI Chip,Hyperscalers,cost_of_revenue_usd_m,revenue_usd_m,2,source leads,28,0.5332491441877372,0.2843546497769541,8.261272036995928
AI Chip,Hyperscalers,cost_of_revenue_usd_m,revenue_usd_m,3,source leads,27,-0.23757921604821405,0.05644388389808397,-4.521525898726795
AI Chip,Hyperscalers,cost_of_revenue_usd_m,revenue_usd_m,4,source leads,26,-0.18980296436553934,0.03602516528194619,-3.6872609574401274
AI Chip,Hyperscalers,cost_of_revenue_usd_m,revenue_usd_m,5,source leads,25,-0.18660611896338902,0.0348218436345785,-3.6655609494889987
AI Chip,Hyperscalers,cost_of_revenue_usd_m,revenue_usd_m,6,source leads,24,-0.15925828035014336,0.02536319986008486,-3.1631991479959587
AI Chip,Hyperscalers,cost_of_revenue_usd_m,revenue_usd_m,7,source leads,23,0.08298752584238415,0.006886929445440378,1.6741463315867753
AI Chip,Hyperscalers,cost_of_revenue_usd_m,revenue_usd_m,8,source leads,22,-0.04737119078113395,0.00224402971602259,-0.95791345363687
AI Chip,NAND,cost_of_revenue_usd_m,revenue_usd_m,-8,target leads,22,0.3169189946053979,0.10043764914169623,0.19231731146865783
AI Chip,NAND,cost_of_revenue_usd_m,revenue_usd_m,-7,target leads,23,0.25072824901534646,0.06286465485430158,0.16482045126997946
AI Chip,NAND,cost_of_revenue_usd_m,revenue_usd_m,-6,target leads,24,0.03945453026773758,0.0015566599586478206,0.027636080320995647
AI Chip,NAND,cost_of_revenue_usd_m,revenue_usd_m,-5,target leads,25,-0.06657591986618057,0.004432353106028097,-0.04688158075142247
AI Chip,NAND,cost_of_revenue_usd_m,revenue_usd_m,-4,target leads,26,-0.16617045160887395,0.027612618987897117,-0.1192104917341208
AI Chip,NAND,cost_of_revenue_usd_m,revenue_usd_m,-3,target leads,27,-0.23459701486181547,0.05503575938207487,-0.16965830733130285
AI Chip,NAND,cost_of_revenue_usd_m,revenue_usd_m,-2,target leads,28,0.006455708588354698,4.1676173377756615e-05,0.004668384768803184
AI Chip,NAND,cost_of_revenue_usd_m,revenue_usd_m,-1,target leads,29,-0.04230536229738493,0.0017897436791129981,-0.03052227886722202
AI Chip,NAND,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,30,-0.021605075706446014,0.00046677929628126375,-0.015727562642989662
AI Chip,NAND,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,29,0.02349608992126192,0.0005520662415880259,0.01726373778846647
AI Chip,NAND,cost_of_revenue_usd_m,revenue_usd_m,2,source leads,28,-0.05323282366376567,0.0028337335152175706,-0.041247086193148236
AI Chip,NAND,cost_of_revenue_usd_m,revenue_usd_m,3,source leads,27,-0.06133263232722219,0.0037616917881862205,-0.05820144158638471
AI Chip,NAND,cost_of_revenue_usd_m,revenue_usd_m,4,source leads,26,-0.12187228018607563,0.014852852677753322,-0.11817202425561878
AI Chip,NAND,cost_of_revenue_usd_m,revenue_usd_m,5,source leads,25,-0.2962928248053118,0.08778943803111121,-0.29038181364006427
AI Chip,NAND,cost_of_revenue_usd_m,revenue_usd_m,6,source leads,24,-0.4615367037565811,0.21301612891449012,-0.4286360754714394
AI Chip,NAND,cost_of_revenue_usd_m,revenue_usd_m,7,source leads,23,-0.45389719090518693,0.20602265991161972,-0.39510566582819306
AI Chip,NAND,cost_of_revenue_usd_m,revenue_usd_m,8,source leads,22,-0.26309462896586694,0.06921878379068719,-0.20851018367034085
AI Chip,Neocloud,cost_of_revenue_usd_m,revenue_usd_m,-8,target leads,0,,,
AI Chip,Neocloud,cost_of_revenue_usd_m,revenue_usd_m,-7,target leads,0,,,
AI Chip,Neocloud,cost_of_revenue_usd_m,revenue_usd_m,-6,target leads,0,,,
AI Chip,Neocloud,cost_of_revenue_usd_m,revenue_usd_m,-5,target leads,0,,,
AI Chip,Neocloud,cost_of_revenue_usd_m,revenue_usd_m,-4,target leads,0,,,
AI Chip,Neocloud,cost_of_revenue_usd_m,revenue_usd_m,-3,target leads,0,,,
AI Chip,Neocloud,cost_of_revenue_usd_m,revenue_usd_m,-2,target leads,1,,,
AI Chip,Neocloud,cost_of_revenue_usd_m,revenue_usd_m,-1,target leads,2,,,
AI Chip,Neocloud,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,3,,,
AI Chip,Neocloud,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,3,,,
AI Chip,Neocloud,cost_of_revenue_usd_m,revenue_usd_m,2,source leads,3,,,
AI Chip,Neocloud,cost_of_revenue_usd_m,revenue_usd_m,3,source leads,3,,,
AI Chip,Neocloud,cost_of_revenue_usd_m,revenue_usd_m,4,source leads,3,,,
AI Chip,Neocloud,cost_of_revenue_usd_m,revenue_usd_m,5,source leads,2,,,
AI Chip,Neocloud,cost_of_revenue_usd_m,revenue_usd_m,6,source leads,1,,,
AI Chip,Neocloud,cost_of_revenue_usd_m,revenue_usd_m,7,source leads,0,,,
AI Chip,Neocloud,cost_of_revenue_usd_m,revenue_usd_m,8,source leads,0,,,
AI Chip,OSAT / packiging,cost_of_revenue_usd_m,revenue_usd_m,-8,target leads,21,0.044162193900461416,0.0019502993701019514,0.013160629488860974
AI Chip,OSAT / packiging,cost_of_revenue_usd_m,revenue_usd_m,-7,target leads,22,-0.02953485044692537,0.0008723073909222477,-0.009127811161833197
AI Chip,OSAT / packiging,cost_of_revenue_usd_m,revenue_usd_m,-6,target leads,23,-0.10552308719127357,0.011135121930377124,-0.03265898062222548
AI Chip,OSAT / packiging,cost_of_revenue_usd_m,revenue_usd_m,-5,target leads,24,-0.45581727234945657,0.20776938577209866,-0.19972388959587598
AI Chip,OSAT / packiging,cost_of_revenue_usd_m,revenue_usd_m,-4,target leads,25,-0.1572362580631468,0.0247232408497005,-0.08603810719541333
AI Chip,OSAT / packiging,cost_of_revenue_usd_m,revenue_usd_m,-3,target leads,26,0.07767940441768979,0.0060340898706870046,0.04907589026159619
AI Chip,OSAT / packiging,cost_of_revenue_usd_m,revenue_usd_m,-2,target leads,27,0.09373318811477975,0.008785910554160687,0.06550959032782107
AI Chip,OSAT / packiging,cost_of_revenue_usd_m,revenue_usd_m,-1,target leads,28,0.0995209285770908,0.009904415224846409,0.07472450948278155
AI Chip,OSAT / packiging,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,29,0.30755789427462216,0.09459185833063966,0.23048437204335173
AI Chip,OSAT / packiging,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,28,0.12380884108011174,0.015328629129600365,0.11404347551549747
AI Chip,OSAT / packiging,cost_of_revenue_usd_m,revenue_usd_m,2,source leads,27,0.03336529454589694,0.0011132428801344603,0.0313693147275319
AI Chip,OSAT / packiging,cost_of_revenue_usd_m,revenue_usd_m,3,source leads,26,0.09711428808220686,0.009431184949713865,0.09226693582712626
AI Chip,OSAT / packiging,cost_of_revenue_usd_m,revenue_usd_m,4,source leads,25,-0.02375142006777133,0.0005641299552357306,-0.02277121409094104
AI Chip,OSAT / packiging,cost_of_revenue_usd_m,revenue_usd_m,5,source leads,24,-0.010606341725089839,0.0001124944847893817,-0.010323688310241661
AI Chip,OSAT / packiging,cost_of_revenue_usd_m,revenue_usd_m,6,source leads,23,0.23048383174626524,0.053122796696440704,0.22183043188800267
AI Chip,OSAT / packiging,cost_of_revenue_usd_m,revenue_usd_m,7,source leads,22,0.3046486327068247,0.09281078941013778,0.2934649998225888
AI Chip,OSAT / packiging,cost_of_revenue_usd_m,revenue_usd_m,8,source leads,21,0.4766927395145965,0.22723596790593095,0.4572190783956646
AI Chip,SW equipment,cost_of_revenue_usd_m,revenue_usd_m,-8,target leads,21,-0.13756188009242107,0.018923270854561632,-0.012656898710465696
AI Chip,SW equipment,cost_of_revenue_usd_m,revenue_usd_m,-7,target leads,22,-0.011956818655036346,0.00014296551234942517,-0.001279075500311126
AI Chip,SW equipment,cost_of_revenue_usd_m,revenue_usd_m,-6,target leads,23,0.2212605398617757,0.04895622649992444,0.02453660962536388
AI Chip,SW equipment,cost_of_revenue_usd_m,revenue_usd_m,-5,target leads,24,-0.060025725872744004,0.003603087766549809,-0.006701477882169745
AI Chip,SW equipment,cost_of_revenue_usd_m,revenue_usd_m,-4,target leads,25,-0.14779653624557007,0.021843816126188107,-0.016912790251925706
AI Chip,SW equipment,cost_of_revenue_usd_m,revenue_usd_m,-3,target leads,26,0.0328293136839113,0.0010777638369566457,0.003781798451801231
AI Chip,SW equipment,cost_of_revenue_usd_m,revenue_usd_m,-2,target leads,27,-0.23268189721953786,0.05414086529368358,-0.034691494514536875
AI Chip,SW equipment,cost_of_revenue_usd_m,revenue_usd_m,-1,target leads,28,0.04078189085003615,0.001663162621304262,0.006635522409544981
AI Chip,SW equipment,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,29,0.6043759203520456,0.3652702531013821,0.09873994705174571
AI Chip,SW equipment,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,28,0.28906301298984405,0.08355742547876675,0.05066567230194326
AI Chip,SW equipment,cost_of_revenue_usd_m,revenue_usd_m,2,source leads,27,0.2221446223001,0.04934823321685408,0.047628219492705466
AI Chip,SW equipment,cost_of_revenue_usd_m,revenue_usd_m,3,source leads,26,0.044026242743261,0.001938310050088542,0.009643395518741762
AI Chip,SW equipment,cost_of_revenue_usd_m,revenue_usd_m,4,source leads,25,-0.2255551543610973,0.05087512765885843,-0.04993385188064488
