source_section,target_section,source_metric,target_metric,best_lag_quarters,best_timing,best_corr,best_observations,best_abs_lag_quarters,best_abs_corr,abs_best_corr
Server EMS,Hyperscalers,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,0.9924589419303063,29,1,0.9924589419303063,0.9924589419303063
CPU,Server EMS,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,0.9919495145951961,29,1,0.9919495145951961,0.9919495145951961
components,Hyperscalers,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.9895946954247511,29,0,0.9895946954247511,0.9895946954247511
AI Software,AI Platforms,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,0.9893721998774054,5,1,0.9893721998774054,0.9893721998774054
Server OEM,CPU,cost_of_revenue_usd_m,revenue_usd_m,8,source leads,0.9885510292052536,22,8,0.9885510292052536,0.9885510292052536
meterier,Energy,cost_of_revenue_usd_m,revenue_usd_m,-5,target leads,0.9861329502215499,23,-5,0.9861329502215499,0.9861329502215499
Hyperscalers,Cooling,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.9844024701641017,29,0,0.9844024701641017,0.9844024701641017
Hyperscalers,AI Chip,cost_of_revenue_usd_m,revenue_usd_m,2,source leads,0.9837614871605818,29,2,0.9837614871605818,0.9837614871605818
Hyperscalers,components,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.9832526908186221,29,0,0.9832526908186221,0.9832526908186221
Hyperscalers,Server Networking,cost_of_revenue_usd_m,revenue_usd_m,2,source leads,0.9826087981387702,29,2,0.9826087981387702,0.9826087981387702
AI Platforms,Server EMS,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.9812859301873728,30,0,0.9812859301873728,0.9812859301873728
CPU,AI Platforms,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,0.9805001782764622,30,1,0.9805001782764622,0.9805001782764622
Hyperscalers,CPU,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.9795470726178758,29,0,0.9795470726178758,0.9795470726178758
CPU,Hyperscalers,cost_of_revenue_usd_m,revenue_usd_m,2,source leads,0.97911842541598,28,2,0.97911842541598,0.97911842541598
Cooling,Hyperscalers,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,0.9772383523003659,28,1,0.9772383523003659,0.9772383523003659
Server EMS,AI Platforms,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.9768567622296593,30,0,0.9768567622296593,0.9768567622296593
HW equipment,Energy,cost_of_revenue_usd_m,revenue_usd_m,-2,target leads,0.9723530270670343,27,-2,0.9723530270670343,0.9723530270670343
AI Software,SW equipment,cost_of_revenue_usd_m,revenue_usd_m,-6,target leads,0.9701241910726647,5,-6,0.9701241910726647,0.9701241910726647
Server EMS,CPU,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.9649880672259995,30,0,0.9649880672259995,0.9649880672259995
CPU,Server OEM,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,0.9647874232841579,30,1,0.9647874232841579,0.9647874232841579
AI Platforms,CPU,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.9575548048175807,30,0,0.9575548048175807,0.9575548048175807
AI Platforms,components,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.9566477860234264,29,0,0.9566477860234264,0.9566477860234264
AI Platforms,Server Networking,cost_of_revenue_usd_m,revenue_usd_m,2,source leads,0.9562985259490883,29,2,0.9562985259490883,0.9562985259490883
AI Platforms,AI Chip,cost_of_revenue_usd_m,revenue_usd_m,2,source leads,0.9512891152445828,29,2,0.9512891152445828,0.9512891152445828
Hyperscalers,AI Platforms,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.939393599514349,29,0,0.939393599514349,0.939393599514349
AI Platforms,Server OEM,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.9381603997925987,31,0,0.9381603997925987,0.9381603997925987
components,AI Platforms,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.9366462402412244,29,0,0.9366462402412244,0.9366462402412244
Server Networking,AI Platforms,cost_of_revenue_usd_m,revenue_usd_m,-2,target leads,0.9352932776752108,29,-2,0.9352932776752108,0.9352932776752108
meterier,HW equipment,cost_of_revenue_usd_m,revenue_usd_m,-3,target leads,0.9343412734146791,25,-3,0.9343412734146791,0.9343412734146791
AI Software,meterier,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.9331978820623212,5,0,0.9331978820623212,0.9331978820623212
AI Platforms,Hyperscalers,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,0.9331221464517202,29,1,0.9331221464517202,0.9331221464517202
Server Networking,Hyperscalers,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,0.9322048841766996,29,1,0.9322048841766996,0.9322048841766996
AI Chip,AI Platforms,cost_of_revenue_usd_m,revenue_usd_m,-2,target leads,0.9243173315127577,29,-2,0.9243173315127577,0.9243173315127577
Server EMS,Server OEM,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.92157280194534,31,0,0.92157280194534,0.92157280194534
Server Networking,Energy,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.9088372302887207,29,0,0.9088372302887207,0.9088372302887207
Server Networking,components,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.9019304520692728,30,0,0.9019304520692728,0.9019304520692728
CPU,Cooling,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,0.8978329716407609,29,1,0.8978329716407609,0.8978329716407609
Server Networking,Cooling,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.8972578520738895,31,0,0.8972578520738895,0.8972578520738895
AI Software,NAND,cost_of_revenue_usd_m,revenue_usd_m,-6,target leads,0.8963806072576382,5,-6,0.8963806072576382,0.8963806072576382
Server Networking,Server EMS,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,0.8640839419714772,30,1,0.8640839419714772,0.8640839419714772
DRAM,Server EMS,cost_of_revenue_usd_m,revenue_usd_m,-1,target leads,0.8632968993545324,27,-1,0.8632968993545324,0.8632968993545324
DRAM,OSAT / packiging,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.8497052659808546,28,0,0.8497052659808546,0.8497052659808546
Server EMS,AI Software,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.8484119298149019,28,0,0.8484119298149019,0.8484119298149019
AI Platforms,Cooling,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.847475230898687,30,0,0.847475230898687,0.847475230898687
Server OEM,Hyperscalers,cost_of_revenue_usd_m,revenue_usd_m,8,source leads,0.8464749540374094,22,8,0.8464749540374094,0.8464749540374094
Energy,AI Software,cost_of_revenue_usd_m,revenue_usd_m,2,source leads,0.8432899627247472,23,2,0.8432899627247472,0.8432899627247472
Energy,components,cost_of_revenue_usd_m,revenue_usd_m,3,source leads,0.840342009247916,24,3,0.840342009247916,0.840342009247916
Hyperscalers,Server OEM,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.839686666578204,29,0,0.839686666578204,0.839686666578204
Energy,Server Networking,cost_of_revenue_usd_m,revenue_usd_m,5,source leads,0.8390806974222563,24,5,0.8390806974222563,0.8390806974222563
Server OEM,AI Software,cost_of_revenue_usd_m,revenue_usd_m,7,source leads,0.8383307675016837,21,7,0.8383307675016837,0.8383307675016837
Energy,AI Chip,cost_of_revenue_usd_m,revenue_usd_m,5,source leads,0.8380935466679446,24,5,0.8380935466679446,0.8380935466679446
Server EMS,Cooling,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.8370831768292977,31,6,-0.8499993847140078,0.8370831768292977
CPU,AI Software,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.8320034994369367,28,0,0.8320034994369367,0.8320034994369367
components,Server OEM,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.82449061123059,30,0,0.82449061123059,0.82449061123059
Server Networking,Server OEM,cost_of_revenue_usd_m,revenue_usd_m,-2,target leads,0.8222829633816445,30,-2,0.8222829633816445,0.8222829633816445
AI Chip,Server OEM,cost_of_revenue_usd_m,revenue_usd_m,-2,target leads,0.8202548492954896,30,-2,0.8202548492954896,0.8202548492954896
Cooling,Server EMS,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,0.8191467494558269,29,1,0.8191467494558269,0.8191467494558269
Energy,Hyperscalers,cost_of_revenue_usd_m,revenue_usd_m,4,source leads,0.8046396125938413,23,4,0.8046396125938413,0.8046396125938413
OSAT / packiging,Server EMS,cost_of_revenue_usd_m,revenue_usd_m,-1,target leads,0.8029130181576688,28,6,-0.8647373375217516,0.8029130181576688
Server Networking,CPU,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.8014368657599393,30,6,-0.81128435300844,0.8014368657599393
OSAT / packiging,components,cost_of_revenue_usd_m,revenue_usd_m,-1,target leads,0.7911273892637154,28,-1,0.7911273892637154,0.7911273892637154
DRAM,SW equipment,cost_of_revenue_usd_m,revenue_usd_m,-8,target leads,0.7873736730692983,20,-8,0.7873736730692983,0.7873736730692983
components,OSAT / packiging,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,0.7856654492789825,28,1,0.7856654492789825,0.7856654492789825
Energy,Cooling,cost_of_revenue_usd_m,revenue_usd_m,3,source leads,0.782627716480054,25,3,0.782627716480054,0.782627716480054
Hyperscalers,OSAT / packiging,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.7773504866165293,28,0,0.7773504866165293,0.7773504866165293
Server Networking,AI Software,cost_of_revenue_usd_m,revenue_usd_m,2,source leads,0.7768620609762459,26,2,0.7768620609762459,0.7768620609762459
DRAM,components,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.7761873622178938,28,5,-0.790876361419796,0.7761873622178938
NAND,meterier,cost_of_revenue_usd_m,revenue_usd_m,-3,target leads,0.77149800658357,23,-3,0.77149800658357,0.77149800658357
Server EMS,OSAT / packiging,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,0.7662296156161312,28,1,0.7662296156161312,0.7662296156161312
Cooling,Server OEM,cost_of_revenue_usd_m,revenue_usd_m,2,source leads,0.755544120844452,29,2,0.755544120844452,0.755544120844452
DRAM,AI Chip,cost_of_revenue_usd_m,revenue_usd_m,-8,target leads,0.7477687851391945,20,7,-0.8033117162459816,0.7477687851391945
Cooling,AI Platforms,cost_of_revenue_usd_m,revenue_usd_m,2,source leads,0.7475256514538209,28,2,0.7475256514538209,0.7475256514538209
OSAT / packiging,AI Chip,cost_of_revenue_usd_m,revenue_usd_m,-8,target leads,0.7456529979315276,21,8,-0.7776183814731639,0.7456529979315276
Cooling,CPU,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.7412440864051042,29,0,0.7412440864051042,0.7412440864051042
components,DRAM,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,0.7384140359074254,27,1,0.7384140359074254,0.7384140359074254
Energy,Server OEM,cost_of_revenue_usd_m,revenue_usd_m,3,source leads,0.7277904775118405,26,3,0.7277904775118405,0.7277904775118405
Server OEM,components,cost_of_revenue_usd_m,revenue_usd_m,8,source leads,0.7245914190139134,22,8,0.7245914190139134,0.7245914190139134
Server OEM,meterier,cost_of_revenue_usd_m,revenue_usd_m,8,source leads,0.7223843623771482,20,8,0.7223843623771482,0.7223843623771482
OSAT / packiging,SW equipment,cost_of_revenue_usd_m,revenue_usd_m,-8,target leads,0.7138391772799305,20,-8,0.7138391772799305,0.7138391772799305
DRAM,Server Networking,cost_of_revenue_usd_m,revenue_usd_m,-2,target leads,0.69666968565833,26,7,-0.7908275791895287,0.69666968565833
Server OEM,AI Platforms,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.6805577694275852,31,0,0.6805577694275852,0.6805577694275852
Energy,AI Platforms,cost_of_revenue_usd_m,revenue_usd_m,3,source leads,0.6749405746633996,25,3,0.6749405746633996,0.6749405746633996
AI Platforms,NAND,cost_of_revenue_usd_m,revenue_usd_m,8,source leads,0.6716406272745628,22,8,0.6716406272745628,0.6716406272745628
DRAM,Hyperscalers,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.6599884938553507,28,6,-0.7828862021129278,0.6599884938553507
Cooling,NAND,cost_of_revenue_usd_m,revenue_usd_m,7,source leads,0.6538670763419633,22,7,0.6538670763419633,0.6538670763419633
Server OEM,Cooling,cost_of_revenue_usd_m,revenue_usd_m,8,source leads,0.6485591451157038,23,8,0.6485591451157038,0.6485591451157038
AI Chip,Cooling,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,0.6418130565160666,30,1,0.6418130565160666,0.6418130565160666
AI Chip,CPU,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,0.6387228248007522,29,1,0.6387228248007522,0.6387228248007522
Energy,CPU,cost_of_revenue_usd_m,revenue_usd_m,3,source leads,0.638113848948907,24,3,0.638113848948907,0.638113848948907
Cooling,meterier,cost_of_revenue_usd_m,revenue_usd_m,8,source leads,0.6356423038218443,19,8,0.6356423038218443,0.6356423038218443
NAND,CPU,cost_of_revenue_usd_m,revenue_usd_m,-7,target leads,0.6196631141527398,23,-7,0.6196631141527398,0.6196631141527398
Energy,Server EMS,cost_of_revenue_usd_m,revenue_usd_m,4,source leads,0.6160651668511451,24,-3,-0.6656527411637279,0.6160651668511451
OSAT / packiging,DRAM,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.6133818621156868,28,0,0.6133818621156868,0.6133818621156868
AI Chip,AI Software,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.6115355675566119,28,0,0.6115355675566119,0.6115355675566119
AI Chip,Server EMS,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,0.6083498773062187,30,1,0.6083498773062187,0.6083498773062187
AI Platforms,OSAT / packiging,cost_of_revenue_usd_m,revenue_usd_m,-6,target leads,0.6080612040204648,22,-6,0.6080612040204648,0.6080612040204648
AI Chip,SW equipment,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.6043759203520456,29,0,0.6043759203520456,0.6043759203520456
DRAM,AI Platforms,cost_of_revenue_usd_m,revenue_usd_m,-5,target leads,0.6002128798145991,23,5,-0.8466569354687208,0.6002128798145991
CPU,NAND,cost_of_revenue_usd_m,revenue_usd_m,-6,target leads,0.5995105772948296,24,-6,0.5995105772948296,0.5995105772948296
Server EMS,DRAM,cost_of_revenue_usd_m,revenue_usd_m,7,source leads,0.5993913598544006,21,7,0.5993913598544006,0.5993913598544006
Server OEM,AI Chip,cost_of_revenue_usd_m,revenue_usd_m,-8,target leads,0.5986652667575949,24,-4,-0.6103598098019998,0.5986652667575949
NAND,Server OEM,cost_of_revenue_usd_m,revenue_usd_m,-8,target leads,0.5948809933194876,22,-8,0.5948809933194876,0.5948809933194876
Server OEM,DRAM,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,0.5943730956819064,27,1,0.5943730956819064,0.5943730956819064
AI Chip,HW equipment,cost_of_revenue_usd_m,revenue_usd_m,-5,target leads,0.5867359137847179,26,-5,0.5867359137847179,0.5867359137847179
SW equipment,AI Software,cost_of_revenue_usd_m,revenue_usd_m,6,source leads,0.5842418371149881,22,1,-0.6832117201445729,0.5842418371149881
Hyperscalers,SW equipment,cost_of_revenue_usd_m,revenue_usd_m,-7,target leads,0.5832637604590876,22,-2,-0.6887899716371559,0.5832637604590876
OSAT / packiging,Server Networking,cost_of_revenue_usd_m,revenue_usd_m,-2,target leads,0.5832415679318503,27,8,-0.7732252676996053,0.5832415679318503
AI Chip,components,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,0.582973794339254,29,-6,-0.7443675633994258,0.582973794339254
OSAT / packiging,Hyperscalers,cost_of_revenue_usd_m,revenue_usd_m,-1,target leads,0.5801264641568972,27,6,-0.7976761955874979,0.5801264641568972
AI Platforms,DRAM,cost_of_revenue_usd_m,revenue_usd_m,6,source leads,0.5785291936765753,22,6,0.5785291936765753,0.5785291936765753
Server EMS,NAND,cost_of_revenue_usd_m,revenue_usd_m,8,source leads,0.5718207082539405,22,8,0.5718207082539405,0.5718207082539405
NAND,AI Software,cost_of_revenue_usd_m,revenue_usd_m,-5,target leads,0.5620203552517926,23,-5,0.5620203552517926,0.5620203552517926
SW equipment,AI Chip,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.5591012099214355,29,4,-0.7519668225556656,0.5591012099214355
Server OEM,Server EMS,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.5561419263337406,31,0,0.5561419263337406,0.5561419263337406
Energy,meterier,cost_of_revenue_usd_m,revenue_usd_m,3,source leads,0.5528856672171859,22,3,0.5528856672171859,0.5528856672171859
Server OEM,Server Networking,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.5528285695371116,32,0,0.5528285695371116,0.5528285695371116
Server OEM,Energy,cost_of_revenue_usd_m,revenue_usd_m,8,source leads,0.5441729551854001,21,8,0.5441729551854001,0.5441729551854001
AI Chip,Energy,cost_of_revenue_usd_m,revenue_usd_m,-7,target leads,0.5406813194435068,23,-7,0.5406813194435068,0.5406813194435068
CPU,Energy,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.5387697635108435,28,0,0.5387697635108435,0.5387697635108435
CPU,SW equipment,cost_of_revenue_usd_m,revenue_usd_m,-6,target leads,0.5350430131537457,23,-6,0.5350430131537457,0.5350430131537457
Server EMS,Energy,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.5344671370180215,29,0,0.5344671370180215,0.5344671370180215
AI Chip,Hyperscalers,cost_of_revenue_usd_m,revenue_usd_m,2,source leads,0.5332491441877372,28,-4,-0.6160596901073387,0.5332491441877372
SW equipment,OSAT / packiging,cost_of_revenue_usd_m,revenue_usd_m,-4,target leads,0.5329634074250286,24,-4,0.5329634074250286,0.5329634074250286
NAND,Hyperscalers,cost_of_revenue_usd_m,revenue_usd_m,4,source leads,0.5321031229592081,21,4,0.5321031229592081,0.5321031229592081
OSAT / packiging,AI Platforms,cost_of_revenue_usd_m,revenue_usd_m,-5,target leads,0.5318749993020024,23,5,-0.8336081424272375,0.5318749993020024
meterier,Hyperscalers,cost_of_revenue_usd_m,revenue_usd_m,-8,target leads,0.5303555804571239,20,-8,0.5303555804571239,0.5303555804571239
NAND,Server Networking,cost_of_revenue_usd_m,revenue_usd_m,5,source leads,0.524557191862411,21,5,0.524557191862411,0.524557191862411
NAND,components,cost_of_revenue_usd_m,revenue_usd_m,3,source leads,0.5232096019586899,21,6,-0.5359155414148854,0.5232096019586899
Cooling,SW equipment,cost_of_revenue_usd_m,revenue_usd_m,-7,target leads,0.518788875330605,22,-2,-0.641495214000882,0.518788875330605
components,SW equipment,cost_of_revenue_usd_m,revenue_usd_m,-7,target leads,0.5150675510360085,22,-2,-0.6364934672373925,0.5150675510360085
SW equipment,Server OEM,cost_of_revenue_usd_m,revenue_usd_m,8,source leads,0.5125310731570949,23,-6,-0.6145658685160905,0.5125310731570949
NAND,AI Chip,cost_of_revenue_usd_m,revenue_usd_m,5,source leads,0.5104168838718782,21,5,0.5104168838718782,0.5104168838718782
Cooling,OSAT / packiging,cost_of_revenue_usd_m,revenue_usd_m,-6,target leads,0.5095191424939789,23,-6,0.5095191424939789,0.5095191424939789
AI Platforms,SW equipment,cost_of_revenue_usd_m,revenue_usd_m,-7,target leads,0.5027896299775065,22,-2,-0.5524684458453974,0.5027896299775065
HW equipment,NAND,cost_of_revenue_usd_m,revenue_usd_m,-8,target leads,0.5005160619107162,22,-8,0.5005160619107162,0.5005160619107162
NAND,Energy,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.49720353111893045,23,0,0.49720353111893045,0.49720353111893045
Energy,DRAM,cost_of_revenue_usd_m,revenue_usd_m,-5,target leads,0.496535188364514,23,-5,0.496535188364514,0.496535188364514
OSAT / packiging,Server OEM,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.4962169968201436,29,6,-0.8429600920592087,0.4962169968201436
Server EMS,SW equipment,cost_of_revenue_usd_m,revenue_usd_m,-7,target leads,0.4937293263644126,22,-2,-0.6426639150573007,0.4937293263644126
Hyperscalers,meterier,cost_of_revenue_usd_m,revenue_usd_m,5,source leads,0.4915341736862055,23,-3,-0.6564430340240751,0.4915341736862055
NAND,Server EMS,cost_of_revenue_usd_m,revenue_usd_m,4,source leads,0.4913337582469511,21,-3,-0.5785299113295455,0.4913337582469511
CPU,DRAM,cost_of_revenue_usd_m,revenue_usd_m,-6,target leads,0.4871717144549079,22,-6,0.4871717144549079,0.4871717144549079
AI Chip,OSAT / packiging,cost_of_revenue_usd_m,revenue_usd_m,8,source leads,0.4766927395145965,21,8,0.4766927395145965,0.4766927395145965
NAND,AI Platforms,cost_of_revenue_usd_m,revenue_usd_m,5,source leads,0.47502965031478783,21,-4,-0.5430587282513863,0.47502965031478783
SW equipment,DRAM,cost_of_revenue_usd_m,revenue_usd_m,-1,target leads,0.4739900118536804,27,-5,-0.5092649210637793,0.4739900118536804
NAND,Cooling,cost_of_revenue_usd_m,revenue_usd_m,3,source leads,0.47107488563951594,22,3,0.47107488563951594,0.47107488563951594
Server OEM,NAND,cost_of_revenue_usd_m,revenue_usd_m,2,source leads,0.46657543609341173,28,2,0.46657543609341173,0.46657543609341173
Server Networking,OSAT / packiging,cost_of_revenue_usd_m,revenue_usd_m,3,source leads,0.4662198503502831,26,-3,-0.4778176050643777,0.4662198503502831
DRAM,Server OEM,cost_of_revenue_usd_m,revenue_usd_m,-2,target leads,0.4612240795715951,26,5,-0.876110525989168,0.4612240795715951
DRAM,AI Software,cost_of_revenue_usd_m,revenue_usd_m,7,source leads,0.4517672128121839,21,4,-0.8493255204873768,0.4517672128121839
Server Networking,SW equipment,cost_of_revenue_usd_m,revenue_usd_m,-6,target leads,0.4496309229898884,23,-2,-0.6615160663014499,0.4496309229898884
DRAM,Energy,cost_of_revenue_usd_m,revenue_usd_m,6,source leads,0.4468501184589981,23,6,0.4468501184589981,0.4468501184589981
Hyperscalers,DRAM,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.4461807693263661,28,-4,-0.49174087922747733,0.4461807693263661
Energy,SW equipment,cost_of_revenue_usd_m,revenue_usd_m,-3,target leads,0.44514198823707724,25,-8,-0.4709173037327895,0.44514198823707724
HW equipment,CPU,cost_of_revenue_usd_m,revenue_usd_m,-8,target leads,0.44467869634207463,22,-8,0.44467869634207463,0.44467869634207463
AI Platforms,HW equipment,cost_of_revenue_usd_m,revenue_usd_m,7,source leads,0.44404825713622115,23,7,0.44404825713622115,0.44404825713622115
SW equipment,CPU,cost_of_revenue_usd_m,revenue_usd_m,7,source leads,0.4433765962562425,23,3,-0.5267719049432676,0.4433765962562425
Server Networking,NAND,cost_of_revenue_usd_m,revenue_usd_m,-6,target leads,0.4400894600954495,24,-6,0.4400894600954495,0.4400894600954495
SW equipment,Cooling,cost_of_revenue_usd_m,revenue_usd_m,8,source leads,0.42606078432356176,23,2,-0.5806744868046021,0.42606078432356176
Hyperscalers,NAND,cost_of_revenue_usd_m,revenue_usd_m,-7,target leads,0.42520089348442675,22,-7,0.42520089348442675,0.42520089348442675
components,AI Software,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.4155686457018381,28,5,-0.6706935763875586,0.4155686457018381
HW equipment,SW equipment,cost_of_revenue_usd_m,revenue_usd_m,-7,target leads,0.41538585883217627,22,-7,0.41538585883217627,0.41538585883217627
OSAT / packiging,AI Software,cost_of_revenue_usd_m,revenue_usd_m,-1,target leads,0.41519084981614995,27,-5,-0.8226240602434012,0.41519084981614995
Hyperscalers,Energy,cost_of_revenue_usd_m,revenue_usd_m,-3,target leads,0.4100494636754287,25,-3,0.4100494636754287,0.4100494636754287
