section,quarter_period,capex_investment_usd_m,capex_valid_companies,total_companies,revenue_usd_m,revenue_usd_m_valid_companies,gross_profit_usd_m,gross_profit_usd_m_valid_companies,cost_of_revenue_usd_m,cost_of_revenue_usd_m_valid_companies,operating_income_usd_m,operating_income_usd_m_valid_companies,net_income_usd_m,net_income_usd_m_valid_companies,inventory_usd_m,inventory_usd_m_valid_companies,calendar_quarter,capex_yoy_current_ratio,revenue_usd_m_yoy_current_ratio,gross_profit_usd_m_yoy_current_ratio,cost_of_revenue_usd_m_yoy_current_ratio,operating_income_usd_m_yoy_current_ratio,net_income_usd_m_yoy_current_ratio,inventory_usd_m_yoy_current_ratio
AI Chip,2024Q3,0.0,0,4,21719.3,4,6701.3,3,6567.0,3,2753.8,4,2616.3,4,17000.3,4,2024-Q3,,-0.1647198574539696,-0.1363168340471252,0.00744632252169935,-1.3826349044956059,-1.1659595612123992,0.20958453674346925
AI Chip,2024Q4,58.173,1,1,13071.273,1,2769.129,1,10302.144,1,1987.318,1,1835.706,1,8660.525,1,2024-Q4,1.0,-0.8984531957981446,-1.734722723282303,0.38785557647029595,-2.5452806244395716,-2.362085214081122,-0.5515572092915845
AI Chip,2025Q1,2094.415,5,5,34406.555,5,10193.948,4,14277.607,4,6635.014,5,6227.618,5,24057.713,5,2025-Q1,0.7169137921567598,0.28644701569221326,0.16215974419331947,0.5414497681579273,0.3582831927709572,0.4302315909550008,0.29335344552493414
AI Chip,2025Q2,355.877,1,5,39215.897,5,14734.315,4,15092.581999999999,4,10345.545,5,9933.622,5,19970.753,5,2025-Q2,1.0,0.4172031816587033,0.5830142086686758,0.507314255440189,0.7479011497219334,0.7763856929526812,0.14874016017322939
AI Chip,2025Q3,593.28,1,5,42320.46,5,19211.117000000002,4,13716.342999999999,4,14370.390000000001,5,13302.007,5,19949.424,5,2025-Q3,1.0,0.48678960483888883,0.6511759311028089,0.5212280707765911,0.8083698493917005,0.8033153944363433,0.1478300325864045
AI Chip,2025Q4,2796.228,5,5,86329.88,5,57177.295,5,29152.585,5,42878.787,5,39809.693,5,42328.95,5,2025-Q4,0.9791959024800554,0.8485892370057737,0.9515694297885201,0.6466130190513122,0.9536526534670862,0.9538879639187371,0.795399484277309
AI Chip,2026Q1,737.5,3,4,38873.9,3,20933.8,2,6271.1,2,20311.7,3,17845.4,3,17635.7,3,2026-Q1,-1.8398847457627119,0.11491887873354618,0.5130388176059769,-1.2767308765607308,0.6733402915560983,0.6510239053201385,-0.36414846022556513
AI Chip,2026Q2,0.0,0,3,42291.9,3,23161.6,2,8151.3,2,21661.6,3,19195.4,3,17635.7,3,2026-Q2,,0.07273267457834726,0.36384727307267195,-0.8515552120520651,0.5224016231487978,0.4824998697604635,-0.13240489461716856
AI Chip,2026Q3,0.0,0,2,36598.1,2,26505.4,2,10092.7,2,21166.2,2,19093.4,2,11109.7,2,2026-Q3,,-0.15635675076028538,0.2751998837972639,-0.3590360359467732,0.32106896844969807,0.3033191050310579,-0.7956762108787814
AI Chip,2027Q1,118.8,1,1,1895.3,1,952.4,1,942.9,1,270.6,1,177.9,1,1388.0,1,2027-Q1,-22.537272727272725,-44.549453912309396,-59.03495905081898,-29.91800296956199,-157.4581929046563,-222.77567734682404,-29.49636167146974
AI Platforms,2016Q1,979.3430000000001,4,4,20911.145,3,11463.914999999999,4,10381.697,3,63.452000000000005,3,2257.884,4,1551.0,1,2016-Q1,,,,,,,
AI Platforms,2016Q2,71.576,1,4,22221.874,3,12544.704,4,10687.890000000001,3,106.948,3,3473.48,4,1551.0,1,2016-Q2,,,,,,,
AI Platforms,2016Q3,73.426,1,4,20758.918,3,11692.489,4,10116.873000000001,3,195.937,3,3044.511,4,1551.0,1,2016-Q3,,,,,,,
AI Platforms,2017Q1,1102.364,4,4,20373.214,3,11211.747,4,10290.832,3,14.711000000000013,3,1939.067,4,1553.0,1,2017-Q1,,,,,,,
AI Platforms,2017Q2,64.883,1,4,21978.021,3,12372.593,4,10834.728,3,315.78499999999997,3,2697.597,4,1553.0,1,2017-Q2,-14.093984556817658,0.04854286016015728,0.0734428102500423,0.0418128632301613,0.7990658200991181,0.1630017382136769,0.00128783000643915
AI Platforms,2017Q3,80.041,1,4,21047.623,3,11817.369,4,10518.538,3,385.984,3,3062.373,4,1553.0,1,2017-Q3,0.10575829887182824,-0.05579019540591355,-0.06154796384880586,-0.016100336377546078,0.7229211573536727,-0.1342445874490142,0.00128783000643915
AI Platforms,2018Q1,887.39,4,4,20265.417,3,11120.618,4,10564.421,3,499.19300000000004,3,2165.691,4,1583.0,1,2018-Q1,0.9172562233065507,-0.02435187985522332,-0.051424390263202925,0.04236370360476915,0.607492492883514,-0.40579196201120116,0.02021478205938092
AI Platforms,2018Q2,96.03,1,4,21509.448,3,12337.999,4,10682.488000000001,3,498.839,3,2879.208,4,1583.0,1,2018-Q2,-10.479371029886494,0.052824879559903185,0.09128319754281067,0.03666336905784503,0.9705095231126676,0.3265276423238613,0.018951358180669616
AI Platforms,2018Q3,140.653,1,5,21512.751,4,12502.377,5,10569.627,4,525.545,4,3066.543,5,1583.0,1,2018-Q3,0.5387016274092981,-0.021627638417792333,0.010380745997341118,-0.025081395966007006,0.39912852372299235,0.12031333002667821,0.018951358180669616
AI Platforms,2019Q1,1158.2250000000001,5,5,24169.559,5,12281.985,5,11887.574,5,666.6479999999999,4,2254.008,5,1682.0,1,2019-Q1,0.9308933929072504,0.1291680994262246,0.037829064275847916,0.11516529781433958,0.42100778821807006,-0.35863448576934964,0.07669441141498216
AI Platforms,2019Q2,128.0,1,5,25442.016,5,13523.319,5,11918.697,5,724.3330000000001,4,3034.342,5,1682.0,1,2019-Q2,-5.932734375,0.20346654133068695,0.17767095488910667,0.11362617910330297,0.3108238890123742,0.2862732678122638,0.058858501783590964
AI Platforms,2019Q3,111.0,1,7,24563.805,7,13409.077000000001,7,11154.728,7,818.021,6,3408.8179999999998,7,1682.0,1,2019-Q3,0.13486486486486485,0.12434380585581102,0.07987708624538448,0.04233541149546614,0.39018802695774313,0.15536470412911446,0.058858501783590964
AI Platforms,2020Q1,784.7239999999999,7,7,24759.842,7,13223.531,7,11536.311,7,816.799,6,2554.295,7,1619.0,1,2020-Q1,0.8207611848242184,0.1311434459072881,0.05453566070968491,0.08379489769303197,0.3565797705433038,-0.20054378996944364,0.022235948116121063
AI Platforms,2020Q2,170.0,1,7,26230.161,7,14572.71,7,11657.451,7,787.131,6,3368.7110000000002,7,1619.0,1,2020-Q2,-5.813088235294119,0.0785584960763298,0.15719279392782803,-0.01974042181262451,0.153066008072354,0.33089896996210133,-0.03891290920321186
AI Platforms,2020Q3,136.0,1,8,25571.961,8,14252.007000000001,8,11319.954,8,792.659,7,2638.169,8,1619.0,1,2020-Q3,0.058823529411764705,0.0050815422407378035,0.05112879891232174,-0.05289270610110257,0.08619847879100585,-0.15016968207874487,-0.03891290920321186
AI Platforms,2021Q1,982.336,8,8,25986.213,8,14608.447,8,11377.766,8,1062.945,7,2456.45,8,1839.0,1,2021-Q1,0.8870040393510978,0.0547370253603324,0.0821011295725,0.01960296951088645,0.23042020048073983,-0.38770095055873316,0.08537248504622078
AI Platforms,2021Q2,178.0,1,8,26909.99,8,15720.336,8,11189.653999999999,8,976.133,7,2724.22,8,1839.0,1,2021-Q2,-3.4085617977528084,0.07990147896747643,0.1588264398419982,-0.03098013575754899,0.1632298057744181,0.0623756524803429,0.11963023382272975
AI Platforms,2021Q3,170.0,1,9,27190.656,9,15975.646999999999,9,11215.009,9,195.858,8,2041.624,9,1839.0,1,2021-Q3,0.0,0.03532445116439997,0.08781722580625373,-0.03945088229532398,-3.018886131789357,-0.6500153799132457,0.11963023382272975
AI Platforms,2022Q1,1010.5120000000001,9,9,24233.982,9,15840.886999999999,9,8393.095,9,1114.459,8,2073.324,9,1649.0,1,2022-Q1,0.8654147600424339,-0.05521086051809394,0.10030246412337879,-0.34872225323316375,0.28874996747300713,-0.27243450613604037,0.018192844147968467
AI Platforms,2022Q2,114.0,1,9,25646.045,9,16920.242000000002,9,8725.803,9,1322.631,8,2283.947,9,1649.0,1,2022-Q2,-7.616982456140351,-0.01326395551438834,0.1366289560161138,-0.3039219427713415,0.19634047591505124,-0.07552846016129082,-0.11522134627046694
AI Platforms,2022Q3,124.0,1,9,25262.376,9,16605.924,9,8656.452,9,1388.125,8,2066.078,9,1649.0,1,2022-Q3,-0.43548387096774194,-0.06522007272791765,0.05332964308399821,-0.29263744545686843,0.29679747861323724,-0.3185465408372771,-0.11522134627046694
AI Platforms,2023Q1,694.837,8,8,27347.202,8,17778.758,8,9568.444,8,1890.505,7,2345.986,8,1552.0,1,2023-Q1,0.7553383023644394,0.005724388184209927,0.10141940173773682,-0.17208283812916714,0.8963991102906367,0.12973734711119328,-0.18492268041237114
AI Platforms,2023Q2,213.0,1,9,29597.609999999997,9,19404.834,9,10192.776,9,1500.903,8,2557.544,9,1552.0,1,2023-Q2,-3.7441877934272303,0.18121828080037536,0.1836628440109305,0.17656436283893617,0.2574743337843951,0.18933007604170243,-0.0625
AI Platforms,2023Q3,166.0,1,9,28963.604,9,19044.177,9,9919.427,9,1239.481,8,-1922.254,9,1552.0,1,2023-Q3,0.3132530120481928,0.11454234079432936,0.11152674121858863,0.12033195062577706,-0.06708452973462287,2.1881608778028294,-0.0625
AI Platforms,2024Q1,785.986,9,9,30418.893,9,20120.757,9,10298.136,9,1407.167,8,2063.546,9,1161.0,1,2024-Q1,0.8422363757115267,0.16951691831783622,0.17468691660060315,0.15941564570520345,0.013532153610765402,-0.0012270140815858494,-0.42032730404823426
AI Platforms,2024Q2,203.0,1,9,32313.179,9,21623.703999999998,9,10689.475,9,1543.321,8,3579.5910000000003,9,1161.0,1,2024-Q2,-2.42284236453202,0.1536827125551466,0.17781162746215898,0.1048724095430319,-0.2249590331499411,0.34462177382835085,-0.3367786391042205
AI Platforms,2024Q3,198.0,1,9,32098.947,9,21632.264,9,10466.683,9,2095.599,8,3169.37,9,1161.0,1,2024-Q3,-0.07575757575757576,0.07792582728648398,0.10296795564255319,0.02616941776109977,0.2837833001447319,0.19304341241319253,-0.3367786391042205
AI Platforms,2025Q1,710.471,9,9,33110.072,9,22536.817,9,10573.255000000001,9,1347.542,8,2603.745,9,1289.0,1,2025-Q1,0.7663521804549377,0.1252328294544331,0.15497485736339783,0.06183791084202559,0.08019119255652138,1.7382650758810867,-0.20403413498836306
AI Platforms,2025Q2,180.0,1,9,35131.218,9,24383.416999999998,9,10747.801,9,3349.849,8,3749.759,9,1289.0,1,2025-Q2,-3.366588888888889,0.13413497362943694,0.17481799208043716,0.04183786060050787,0.579931214809981,0.44968569980097395,0.09930178432893716
AI Platforms,2025Q3,166.0,1,9,34905.725,9,24348.357,9,10557.368,9,3707.785,8,1896.394,9,1289.0,1,2025-Q3,-0.22289156626506024,0.07427280195440715,0.11190295098761703,-0.012513251408873875,0.583762003460287,-0.8875776869152721,0.09930178432893716
AI Platforms,2025Q4,1129.87,9,9,44523.721000000005,9,31891.855,9,12631.866,9,10187.246,9,10290.202,9,1220.0,1,2025-Q4,0.8247586005469656,0.2790596500234112,0.32169941196584523,0.17140642562231098,0.7942919018545346,0.6920011871487071,0.04836065573770492
AI Platforms,2026Q1,755.879,9,9,35879.765,9,25093.377,9,10786.387999999999,9,3986.623,8,4661.638,9,1220.0,1,2026-Q1,0.0600731069390736,0.07719373301358019,0.10188186309080684,0.0197594412513251,0.6619840902939657,0.4414527683187755,-0.056557377049180325
AI Platforms,2026Q2,137.0,1,4,16544.932,4,13331.601,4,3213.3309999999997,4,3465.257,4,2826.508,4,0.0,0,2026-Q2,-0.31386861313868614,-1.1233824351771284,-0.8289939070333711,-2.3447537773108342,0.03330431191683615,-0.3266401510273455,
AI Platforms,2026Q3,204.0,1,3,10915.469000000001,3,8354.244,3,2561.2250000000004,3,1499.667,3,1128.128,3,0.0,0,2026-Q3,0.18627450980392157,-2.197821825154741,-1.914489569612762,-3.121999433864654,-1.4724055406967014,-0.6810096017473196,
AI Platforms,2027Q1,225.6,3,3,11420.088,3,8648.261,3,2771.827,3,1441.1889999999999,3,1073.2820000000002,3,0.0,0,2027-Q1,-4.008289007092198,-2.898719607064324,-2.6876610222563815,-3.557234632608745,-6.0686398522331215,-8.587603258044016,
AI Software,2016Q1,502.0,1,1,3543.0,1,0.0,0,0.0,0,933.0,1,512.0,1,0.0,0,2016-Q1,,,,,,,
AI Software,2016Q2,0.0,0,1,4042.0,1,0.0,0,0.0,0,1273.0,1,719.0,1,0.0,0,2016-Q2,,,,,,,
AI Software,2016Q3,0.0,0,1,4501.0,1,0.0,0,0.0,0,1459.0,1,896.0,1,0.0,0,2016-Q3,,,,,,,
AI Software,2017Q1,1132.0,1,1,5382.0,1,0.0,0,0.0,0,2010.0,1,1738.0,1,0.0,0,2017-Q1,,,,,,,
AI Software,2017Q2,0.0,0,1,6436.0,1,0.0,0,0.0,0,2734.0,1,2283.0,1,0.0,0,2017-Q2,,0.449502796768179,,,0.6587417702999269,0.7757336837494525,
AI Software,2017Q3,0.0,0,1,7011.0,1,0.0,0,0.0,0,3117.0,1,2627.0,1,0.0,0,2017-Q3,,0.4234773926686635,,,0.5915944818735964,0.7263037685572897,
AI Software,2018Q1,1271.0,1,1,8032.0,1,0.0,0,0.0,0,3327.0,1,3064.0,1,0.0,0,2018-Q1,1.0,0.43961653386454186,,,0.5614667868951007,0.7075718015665796,
AI Software,2018Q2,0.0,0,1,9321.0,1,0.0,0,0.0,0,4401.0,1,3894.0,1,0.0,0,2018-Q2,,0.4225941422594142,,,0.5432856169052488,0.5536723163841808,
AI Software,2018Q3,323.0,1,2,14434.0,2,0.0,0,0.0,0,5767.0,2,6512.0,2,0.0,0,2018-Q3,1.0,0.5541083552722738,,,0.5259233570313855,0.649416461916462,
AI Software,2019Q1,2812.0,1,1,11966.0,1,0.0,0,0.0,0,5449.0,1,4988.0,1,0.0,0,2019-Q1,1.0,0.41408992144409157,,,0.4279684345751514,0.47333600641539697,
AI Software,2019Q2,0.0,0,1,13231.0,1,0.0,0,0.0,0,5863.0,1,5106.0,1,0.0,0,2019-Q2,,0.3929408207996372,,,0.4325430666894082,0.399921660791226,
AI Software,2019Q3,0.0,0,1,13727.0,1,0.0,0,0.0,0,5781.0,1,5137.0,1,0.0,0,2019-Q3,,0.3209732643694908,,,0.2387130254281266,0.24197002141327623,
AI Software,2020Q1,3837.0,1,1,15077.0,1,0.0,0,0.0,0,3317.0,1,2429.0,1,0.0,0,2020-Q1,0.9158196507688298,0.04264774159315514,,,-0.7386192342478143,-1.6809386578839027,
AI Software,2020Q2,0.0,0,1,16886.0,1,0.0,0,0.0,0,4626.0,1,2616.0,1,0.0,0,2020-Q2,,0.2913656283311619,,,-0.1779074794638997,-0.9067278287461774,
AI Software,2020Q3,0.0,0,1,17652.0,1,0.0,0,0.0,0,7185.0,1,6091.0,1,0.0,0,2020-Q3,,0.2504532064355314,,,0.18399443284620737,0.161714004268593,
AI Software,2021Q1,3558.0,1,1,17737.0,1,0.0,0,0.0,0,5893.0,1,4902.0,1,0.0,0,2021-Q1,1.0,0.22608107346225403,,,0.019005599864245715,-0.04793961648306814,
AI Software,2021Q2,0.0,0,1,18687.0,1,0.0,0,0.0,0,5963.0,1,5178.0,1,0.0,0,2021-Q2,,0.19318242628565313,,,0.4437363743082341,0.5308999613750482,
AI Software,2021Q3,0.0,0,1,21470.0,1,0.0,0,0.0,0,8040.0,1,7846.0,1,0.0,0,2021-Q3,,0.2135072193758733,,,0.4246268656716418,0.6665816976803467,
AI Software,2022Q1,4303.0,1,1,26171.0,1,0.0,0,0.0,0,11378.0,1,9497.0,1,0.0,0,2022-Q1,1.0,0.32551297237400173,,,0.36851819300404287,0.3586395703906497,
AI Software,2022Q2,0.0,0,1,29077.0,1,0.0,0,0.0,0,12367.0,1,10394.0,1,0.0,0,2022-Q2,,0.3899989682566977,,,0.5234899328859061,0.5283817587069464,
AI Software,2022Q3,0.0,0,1,29010.0,1,0.0,0,0.0,0,10423.0,1,9194.0,1,0.0,0,2022-Q3,,0.35584281282316443,,,0.42789983689916533,0.4368066130084838,
AI Software,2023Q1,5441.0,1,1,27908.0,1,0.0,0,0.0,0,8524.0,1,7465.0,1,0.0,0,2023-Q1,1.0,0.2306865414934786,,,0.05678085405912717,-0.051038178164768924,
AI Software,2023Q2,0.0,0,1,28822.0,1,0.0,0,0.0,0,8358.0,1,6687.0,1,0.0,0,2023-Q2,,0.09197834987162584,,,-0.3613304618329744,-0.4202183340810528,
AI Software,2023Q3,0.0,0,1,27714.0,1,0.0,0,0.0,0,5664.0,1,4395.0,1,0.0,0,2023-Q3,,-0.049180919390921556,,,-1.1834392655367232,-1.3649601820250283,
AI Software,2024Q1,6823.0,1,1,28645.0,1,0.0,0,0.0,0,7227.0,1,5709.0,1,0.0,0,2024-Q1,1.0,-0.012742188863676035,,,-0.44223052442230526,-0.6104396566824313,
AI Software,2024Q2,0.0,0,1,31999.0,1,0.0,0,0.0,0,9392.0,1,7788.0,1,0.0,0,2024-Q2,,0.12784774524203882,,,0.0924190800681431,0.04147406266050334,
AI Software,2024Q3,0.0,0,1,34146.0,1,0.0,0,0.0,0,13748.0,1,11583.0,1,0.0,0,2024-Q3,,0.1559187020441633,,,0.3920570264765784,0.4226884226884227,
AI Software,2025Q1,6400.0,1,2,68907.0,2,14965.0,1,17487.0,1,18326.0,2,20086.0,2,0.0,0,2025-Q1,1.0,0.5978057381688363,1.0,1.0,0.6909309178216742,0.7811908792193568,
AI Software,2025Q2,0.0,0,2,71784.0,2,14356.0,1,18357.0,1,18124.0,2,20787.0,2,0.0,0,2025-Q2,,0.6009556447119135,1.0,1.0,0.6012469653498124,0.7253571944003464,
AI Software,2025Q3,0.0,0,2,71763.0,2,12859.0,1,18315.0,1,18449.0,2,4456.0,2,0.0,0,2025-Q3,,0.5541016958599836,1.0,1.0,0.4909209171228793,-0.7477558348294434,
AI Software,2025Q4,21383.0,1,2,92633.0,2,63450.0,2,29183.0,2,26228.0,2,24550.0,2,6200.0,1,2025-Q4,1.0,0.6313840639944728,1.0,1.0,0.4758273600732042,0.5281873727087576,1.0
AI Software,2026Q1,19840.0,1,2,32075.0,1,12486.0,1,19589.0,1,3193.0,1,3445.0,1,0.0,0,2026-Q1,0.6774193548387096,-1.1483086515978176,-0.19854236745154574,0.10730512022053193,-4.739430003131851,-4.830478955007257,
CPU,2016Q1,2025.0,1,1,12781.0,1,7730.0,1,5051.0,1,2615.0,1,1992.0,1,5167.0,1,2016-Q1,,,,,,,
CPU,2016Q2,0.0,0,1,13195.0,1,8248.0,1,4947.0,1,2896.0,1,2706.0,1,5167.0,1,2016-Q2,,,,,,,
CPU,2016Q3,0.0,0,1,14465.0,1,9111.0,1,5354.0,1,4192.0,1,3109.0,1,5167.0,1,2016-Q3,,,,,,,
CPU,2017Q1,1346.0,1,1,13702.0,1,8130.0,1,5572.0,1,2568.0,1,2046.0,1,5553.0,1,2017-Q1,,,,,,,
CPU,2017Q2,0.0,0,1,13533.0,1,7973.0,1,5560.0,1,1318.0,1,1330.0,1,5553.0,1,2017-Q2,,0.05556787112983078,0.030477862786905806,0.09154676258992805,-0.9840667678300455,-0.49774436090225566,0.06951197550873402
CPU,2017Q3,0.0,0,1,15778.0,1,9983.0,1,5795.0,1,4462.0,1,3378.0,1,5553.0,1,2017-Q3,,0.16370896184560782,0.17379545226885706,0.1463330457290768,0.35096369341102646,0.1989342806394316,0.06951197550873402
CPU,2018Q1,1952.0,1,1,14796.0,1,9160.0,1,5636.0,1,3632.0,1,2964.0,1,6983.0,1,2018-Q1,1.0,0.022370911057042444,0.005349344978165939,0.05003548616039744,-0.15418502202643172,-0.048920377867746286,0.2600601460690248
CPU,2018Q2,0.0,0,1,14763.0,1,9096.0,1,5667.0,1,3842.0,1,2808.0,1,6983.0,1,2018-Q2,,0.07186886134254555,0.10620052770448549,0.016763719781189342,0.33159812597605415,0.27136752136752135,0.20478304453673207
CPU,2018Q3,0.0,0,1,16149.0,1,10064.0,1,6085.0,1,5141.0,1,4516.0,1,6983.0,1,2018-Q3,,0.16199145457923092,0.20777027027027026,0.08627773212818406,0.7436296440381249,0.7054915854738707,0.20478304453673207
CPU,2019Q1,2910.0,1,1,16066.0,1,9731.0,1,6335.0,1,4470.0,1,4454.0,1,7253.0,1,2019-Q1,1.0,0.01792605502303,-0.025896619052512587,0.08524072612470403,0.0017897091722595079,0.2415806017063314,0.23438577140493588
CPU,2019Q2,0.0,0,1,16962.0,1,10419.0,1,6543.0,1,5273.0,1,5006.0,1,7253.0,1,2019-Q2,,0.1276972055182172,0.12083693252711393,0.13862142747974934,0.31120804096339844,0.40791050739113066,0.037225975458430996
CPU,2019Q3,0.0,0,1,19163.0,1,12360.0,1,6803.0,1,7349.0,1,6398.0,1,7253.0,1,2019-Q3,,0.2296091426185879,0.26407766990291265,0.16698515360870203,0.47720778337188735,0.5611128477649265,0.037225975458430996
