analysis_layer,source_section,target_section,source_metric,source_transform,target_metric,target_transform,target_transform_col,best_lag_quarters,timing,best_corr,best_observations,best_r_squared,best_abs_lag_quarters,best_abs_corr,status,signal_class,map_eligible,interpretation
Procurement spend -> Supplier revenue,Server EMS,components,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,0.996595901770646,30,0.9932033914260472,0,0.996595901770646,ok,strong,True,"synchronous; best positive lag +0Q, corr 1.00, n=30. Strongest absolute relation is lag +0Q, corr 1.00."
Procurement spend -> Supplier revenue,Server EMS,AI Chip,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,2,source leads,0.9963416565468072,30,0.9926966965704359,2,0.9963416565468072,ok,strong,True,"source leads; best positive lag +2Q, corr 1.00, n=30. Strongest absolute relation is lag +2Q, corr 1.00."
Procurement spend -> Supplier revenue,AI Chip,Server Networking,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,0.99584019559325,32,0.9916976951592024,0,0.99584019559325,ok,strong,True,"synchronous; best positive lag +0Q, corr 1.00, n=32. Strongest absolute relation is lag +0Q, corr 1.00."
Procurement spend -> Supplier revenue,Cooling,components,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,0.994593545682386,29,0.9892163211130605,0,0.994593545682386,ok,strong,True,"synchronous; best positive lag +0Q, corr 0.99, n=29. Strongest absolute relation is lag +0Q, corr 0.99."
Procurement spend -> Supplier revenue,Cooling,Server Networking,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,2,source leads,0.9945439863715889,29,0.9891177408278913,2,0.9945439863715889,ok,strong,True,"source leads; best positive lag +2Q, corr 0.99, n=29. Strongest absolute relation is lag +2Q, corr 0.99."
Procurement spend -> Supplier revenue,Cooling,AI Chip,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,2,source leads,0.9941311020908775,29,0.9882966481444228,2,0.9941311020908775,ok,strong,True,"source leads; best positive lag +2Q, corr 0.99, n=29. Strongest absolute relation is lag +2Q, corr 0.99."
Procurement spend -> Supplier revenue,Hyperscalers,Server EMS,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,-1,target leads,0.9927881487981703,28,0.985628308394098,-1,0.9927881487981703,ok,strong,True,"target leads; best positive lag -1Q, corr 0.99, n=28. Strongest absolute relation is lag -1Q, corr 0.99."
Procurement spend -> Supplier revenue,Server EMS,Hyperscalers,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,1,source leads,0.9924589419303063,29,0.984974751417423,1,0.9924589419303063,ok,strong,True,"source leads; best positive lag +1Q, corr 0.99, n=29. Strongest absolute relation is lag +1Q, corr 0.99."
Procurement spend -> Supplier revenue,CPU,Server EMS,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,1,source leads,0.9919495145951961,29,0.9839638395056451,1,0.9919495145951961,ok,strong,True,"source leads; best positive lag +1Q, corr 0.99, n=29. Strongest absolute relation is lag +1Q, corr 0.99."
Procurement spend -> Supplier revenue,components,Hyperscalers,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,0.9895946954247511,29,0.9792976612128059,0,0.9895946954247511,ok,strong,True,"synchronous; best positive lag +0Q, corr 0.99, n=29. Strongest absolute relation is lag +0Q, corr 0.99."
Procurement spend -> Supplier revenue,Server OEM,CPU,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,8,source leads,0.9885510292052536,22,0.9772331373427662,8,0.9885510292052536,ok,strong,True,"source leads; best positive lag +8Q, corr 0.99, n=22. Strongest absolute relation is lag +8Q, corr 0.99."
Procurement spend -> Supplier revenue,Hyperscalers,Cooling,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,0.9844024701641017,29,0.969048223265185,0,0.9844024701641017,ok,strong,True,"synchronous; best positive lag +0Q, corr 0.98, n=29. Strongest absolute relation is lag +0Q, corr 0.98."
Procurement spend -> Supplier revenue,Hyperscalers,AI Chip,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,2,source leads,0.9837614871605818,29,0.9677866636203994,2,0.9837614871605818,ok,strong,True,"source leads; best positive lag +2Q, corr 0.98, n=29. Strongest absolute relation is lag +2Q, corr 0.98."
Procurement spend -> Supplier revenue,Hyperscalers,components,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,0.9832526908186221,29,0.9667858540020609,0,0.9832526908186221,ok,strong,True,"synchronous; best positive lag +0Q, corr 0.98, n=29. Strongest absolute relation is lag +0Q, corr 0.98."
Procurement spend -> Supplier revenue,Hyperscalers,Server Networking,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,2,source leads,0.9826087981387702,29,0.9655200501797185,2,0.9826087981387702,ok,strong,True,"source leads; best positive lag +2Q, corr 0.98, n=29. Strongest absolute relation is lag +2Q, corr 0.98."
Procurement spend -> Supplier revenue,AI Platforms,Server EMS,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,0.9812859301873728,30,0.9629220767836973,0,0.9812859301873728,ok,strong,True,"synchronous; best positive lag +0Q, corr 0.98, n=30. Strongest absolute relation is lag +0Q, corr 0.98."
Procurement spend -> Supplier revenue,CPU,AI Platforms,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,1,source leads,0.9805001782764622,30,0.9613805996001741,1,0.9805001782764622,ok,strong,True,"source leads; best positive lag +1Q, corr 0.98, n=30. Strongest absolute relation is lag +1Q, corr 0.98."
Procurement spend -> Supplier revenue,Hyperscalers,CPU,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,0.9795470726178758,29,0.95951246747425,0,0.9795470726178758,ok,strong,True,"synchronous; best positive lag +0Q, corr 0.98, n=29. Strongest absolute relation is lag +0Q, corr 0.98."
Procurement spend -> Supplier revenue,CPU,Hyperscalers,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,2,source leads,0.97911842541598,28,0.958672890989068,2,0.97911842541598,ok,strong,True,"source leads; best positive lag +2Q, corr 0.98, n=28. Strongest absolute relation is lag +2Q, corr 0.98."
Procurement spend -> Supplier revenue,Cooling,Hyperscalers,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,1,source leads,0.9772383523003659,28,0.9549947972067341,1,0.9772383523003659,ok,strong,True,"source leads; best positive lag +1Q, corr 0.98, n=28. Strongest absolute relation is lag +1Q, corr 0.98."
Procurement spend -> Supplier revenue,Server EMS,AI Platforms,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,0.9768567622296593,30,0.9542491339138132,0,0.9768567622296593,ok,strong,True,"synchronous; best positive lag +0Q, corr 0.98, n=30. Strongest absolute relation is lag +0Q, corr 0.98."
Procurement spend -> Supplier revenue,HW equipment,Energy,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,-2,target leads,0.9723530270670343,27,0.9454704092464248,-2,0.9723530270670343,ok,strong,True,"target leads; best positive lag -2Q, corr 0.97, n=27. Strongest absolute relation is lag -2Q, corr 0.97."
Procurement spend -> Supplier revenue,Server EMS,CPU,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,0.9649880672259995,30,0.9312019698885702,0,0.9649880672259995,ok,strong,True,"synchronous; best positive lag +0Q, corr 0.96, n=30. Strongest absolute relation is lag +0Q, corr 0.96."
Procurement spend -> Supplier revenue,CPU,Server OEM,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,1,source leads,0.9647874232841579,30,0.9308147721272848,1,0.9647874232841579,ok,strong,True,"source leads; best positive lag +1Q, corr 0.96, n=30. Strongest absolute relation is lag +1Q, corr 0.96."
Procurement spend -> Supplier revenue,AI Platforms,CPU,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,0.9575548048175807,30,0.9169112042292351,0,0.9575548048175807,ok,strong,True,"synchronous; best positive lag +0Q, corr 0.96, n=30. Strongest absolute relation is lag +0Q, corr 0.96."
Procurement spend -> Supplier revenue,AI Platforms,components,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,0.9566477860234264,29,0.9151749865035234,0,0.9566477860234264,ok,strong,True,"synchronous; best positive lag +0Q, corr 0.96, n=29. Strongest absolute relation is lag +0Q, corr 0.96."
Procurement spend -> Supplier revenue,AI Platforms,Server Networking,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,2,source leads,0.9562985259490883,29,0.914506870732399,2,0.9562985259490883,ok,strong,True,"source leads; best positive lag +2Q, corr 0.96, n=29. Strongest absolute relation is lag +2Q, corr 0.96."
Procurement spend -> Supplier revenue,AI Platforms,AI Chip,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,2,source leads,0.9512891152445828,29,0.9049509807828212,2,0.9512891152445828,ok,strong,True,"source leads; best positive lag +2Q, corr 0.95, n=29. Strongest absolute relation is lag +2Q, corr 0.95."
Procurement spend -> Supplier revenue,Hyperscalers,AI Platforms,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,0.939393599514349,29,0.882460334808525,0,0.939393599514349,ok,strong,True,"synchronous; best positive lag +0Q, corr 0.94, n=29. Strongest absolute relation is lag +0Q, corr 0.94."
Procurement spend -> Supplier revenue,AI Platforms,Server OEM,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,0.9381603997925987,31,0.8801449357390086,0,0.9381603997925987,ok,strong,True,"synchronous; best positive lag +0Q, corr 0.94, n=31. Strongest absolute relation is lag +0Q, corr 0.94."
Procurement spend -> Supplier revenue,components,AI Platforms,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,0.9366462402412247,29,0.8773061793580219,0,0.9366462402412247,ok,strong,True,"synchronous; best positive lag +0Q, corr 0.94, n=29. Strongest absolute relation is lag +0Q, corr 0.94."
Procurement spend -> Supplier revenue,Server Networking,AI Platforms,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,-2,target leads,0.9352932776752108,29,0.8747735152644389,-2,0.9352932776752108,ok,strong,True,"target leads; best positive lag -2Q, corr 0.94, n=29. Strongest absolute relation is lag -2Q, corr 0.94."
Procurement spend -> Supplier revenue,meterier,HW equipment,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,-3,target leads,0.934341273414679,25,0.8729936152061639,-3,0.934341273414679,ok,strong,True,"target leads; best positive lag -3Q, corr 0.93, n=25. Strongest absolute relation is lag -3Q, corr 0.93."
Procurement spend -> Supplier revenue,AI Platforms,Hyperscalers,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,1,source leads,0.9331221464517202,29,0.8707169401986655,1,0.9331221464517202,ok,strong,True,"source leads; best positive lag +1Q, corr 0.93, n=29. Strongest absolute relation is lag +1Q, corr 0.93."
Procurement spend -> Supplier revenue,Server Networking,Hyperscalers,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,1,source leads,0.9322048841766996,29,0.8690059460828938,1,0.9322048841766996,ok,strong,True,"source leads; best positive lag +1Q, corr 0.93, n=29. Strongest absolute relation is lag +1Q, corr 0.93."
Procurement spend -> Supplier revenue,AI Chip,AI Platforms,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,-2,target leads,0.9243173315127577,29,0.8543625293348653,-2,0.9243173315127577,ok,strong,True,"target leads; best positive lag -2Q, corr 0.92, n=29. Strongest absolute relation is lag -2Q, corr 0.92."
Procurement spend -> Supplier revenue,Server EMS,Server OEM,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,0.9215728019453401,31,0.8492964292853851,0,0.9215728019453401,ok,strong,True,"synchronous; best positive lag +0Q, corr 0.92, n=31. Strongest absolute relation is lag +0Q, corr 0.92."
Procurement spend -> Supplier revenue,Server Networking,Energy,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,0.9088372302887204,29,0.8259851111588726,0,0.9088372302887204,ok,strong,True,"synchronous; best positive lag +0Q, corr 0.91, n=29. Strongest absolute relation is lag +0Q, corr 0.91."
Procurement spend -> Supplier revenue,Server Networking,components,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,0.9019304520692728,30,0.8134785403698828,0,0.9019304520692728,ok,strong,True,"synchronous; best positive lag +0Q, corr 0.90, n=30. Strongest absolute relation is lag +0Q, corr 0.90."
Procurement spend -> Supplier revenue,CPU,Cooling,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,1,source leads,0.897832971640761,29,0.8061040449652797,1,0.897832971640761,ok,strong,True,"source leads; best positive lag +1Q, corr 0.90, n=29. Strongest absolute relation is lag +1Q, corr 0.90."
Procurement spend -> Supplier revenue,Server Networking,Cooling,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,0.8972578520738895,31,0.8050716531082498,0,0.8972578520738895,ok,strong,True,"synchronous; best positive lag +0Q, corr 0.90, n=31. Strongest absolute relation is lag +0Q, corr 0.90."
Procurement spend -> Supplier revenue,Server Networking,Server EMS,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,1,source leads,0.8640839419714772,30,0.7466410587729672,1,0.8640839419714772,ok,strong,True,"source leads; best positive lag +1Q, corr 0.86, n=30. Strongest absolute relation is lag +1Q, corr 0.86."
Procurement spend -> Supplier revenue,DRAM,Server EMS,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,-1,target leads,0.8632968993545324,27,0.7452815364351496,-1,0.8632968993545324,ok,strong,True,"target leads; best positive lag -1Q, corr 0.86, n=27. Strongest absolute relation is lag -1Q, corr 0.86."
Procurement spend -> Supplier revenue,DRAM,OSAT / packiging,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,0.8497052659808546,28,0.7219990390355949,0,0.8497052659808546,ok,strong,True,"synchronous; best positive lag +0Q, corr 0.85, n=28. Strongest absolute relation is lag +0Q, corr 0.85."
Procurement spend -> Supplier revenue,Server EMS,AI Software,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,0.8484119298149019,28,0.7198028026522459,0,0.8484119298149019,ok,strong,True,"synchronous; best positive lag +0Q, corr 0.85, n=28. Strongest absolute relation is lag +0Q, corr 0.85."
Procurement spend -> Supplier revenue,AI Platforms,Cooling,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,0.8474752308986873,30,0.7182142669867833,0,0.8474752308986873,ok,strong,True,"synchronous; best positive lag +0Q, corr 0.85, n=30. Strongest absolute relation is lag +0Q, corr 0.85."
Procurement spend -> Supplier revenue,Server OEM,Hyperscalers,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,8,source leads,0.8464749540374094,22,0.7165198478126342,8,0.8464749540374094,ok,strong,True,"source leads; best positive lag +8Q, corr 0.85, n=22. Strongest absolute relation is lag +8Q, corr 0.85."
Procurement spend -> Supplier revenue,Energy,AI Software,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,2,source leads,0.8432899627247474,23,0.7111379612323059,2,0.8432899627247474,ok,strong,True,"source leads; best positive lag +2Q, corr 0.84, n=23. Strongest absolute relation is lag +2Q, corr 0.84."
Procurement spend -> Supplier revenue,Energy,components,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,3,source leads,0.8403420092479159,24,0.7061746925068244,3,0.8403420092479159,ok,strong,True,"source leads; best positive lag +3Q, corr 0.84, n=24. Strongest absolute relation is lag +3Q, corr 0.84."
Procurement spend -> Supplier revenue,Hyperscalers,Server OEM,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,0.839686666578204,29,0.7050736980292159,0,0.839686666578204,ok,strong,True,"synchronous; best positive lag +0Q, corr 0.84, n=29. Strongest absolute relation is lag +0Q, corr 0.84."
Procurement spend -> Supplier revenue,Energy,Server Networking,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,5,source leads,0.8390806974222563,24,0.7040564167866201,5,0.8390806974222563,ok,strong,True,"source leads; best positive lag +5Q, corr 0.84, n=24. Strongest absolute relation is lag +5Q, corr 0.84."
Procurement spend -> Supplier revenue,Server OEM,AI Software,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,7,source leads,0.8383307675016837,21,0.702798475739962,7,0.8383307675016837,ok,strong,True,"source leads; best positive lag +7Q, corr 0.84, n=21. Strongest absolute relation is lag +7Q, corr 0.84."
Procurement spend -> Supplier revenue,Energy,AI Chip,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,5,source leads,0.8380935466679448,24,0.7024007929664545,5,0.8380935466679448,ok,strong,True,"source leads; best positive lag +5Q, corr 0.84, n=24. Strongest absolute relation is lag +5Q, corr 0.84."
Procurement spend -> Supplier revenue,Server EMS,Cooling,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,0.8370831768292977,31,0.7007082449306292,6,-0.8499993847140078,ok,strong,True,"synchronous; best positive lag +0Q, corr 0.84, n=31. Strongest absolute relation is lag +6Q, corr -0.85."
Procurement spend -> Supplier revenue,CPU,AI Software,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,0.8320034994369367,28,0.6922298230753088,0,0.8320034994369367,ok,strong,True,"synchronous; best positive lag +0Q, corr 0.83, n=28. Strongest absolute relation is lag +0Q, corr 0.83."
Procurement spend -> Supplier revenue,components,Server OEM,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,0.8244906112305902,30,0.6797847680073922,0,0.8244906112305902,ok,strong,True,"synchronous; best positive lag +0Q, corr 0.82, n=30. Strongest absolute relation is lag +0Q, corr 0.82."
Procurement spend -> Supplier revenue,Server Networking,Server OEM,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,-2,target leads,0.8222829633816445,30,0.6761492718676989,-2,0.8222829633816445,ok,strong,True,"target leads; best positive lag -2Q, corr 0.82, n=30. Strongest absolute relation is lag -2Q, corr 0.82."
Procurement spend -> Supplier revenue,AI Chip,Server OEM,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,-2,target leads,0.8202548492954896,30,0.6728180177927664,-2,0.8202548492954896,ok,strong,True,"target leads; best positive lag -2Q, corr 0.82, n=30. Strongest absolute relation is lag -2Q, corr 0.82."
Procurement spend -> Supplier revenue,Cooling,Server EMS,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,1,source leads,0.8191467494558269,29,0.6710013971440473,1,0.8191467494558269,ok,strong,True,"source leads; best positive lag +1Q, corr 0.82, n=29. Strongest absolute relation is lag +1Q, corr 0.82."
Procurement spend -> Supplier revenue,Energy,Hyperscalers,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,4,source leads,0.8046396125938414,23,0.6474449061551673,4,0.8046396125938414,ok,strong,True,"source leads; best positive lag +4Q, corr 0.80, n=23. Strongest absolute relation is lag +4Q, corr 0.80."
Procurement spend -> Supplier revenue,OSAT / packiging,Server EMS,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,-1,target leads,0.8029130181576688,28,0.644669314727057,6,-0.8647373375217515,ok,strong,True,"target leads; best positive lag -1Q, corr 0.80, n=28. Strongest absolute relation is lag +6Q, corr -0.86."
Procurement spend -> Supplier revenue,Server Networking,CPU,Cost of revenue,cost_of_revenue_usd_m_yoy_current_ratio,Revenue,YoY current-base ratio,revenue_usd_m_yoy_current_ratio,0,synchronous,0.8014368657599392,30,0.6423010497991148,6,-0.8112843530084402,ok,strong,True,"synchronous; best positive lag +0Q, corr 0.80, n=30. Strongest absolute relation is lag +6Q, corr -0.81."
